년도,일정,강의주제,신청학교,인원
2017,07월 29일,광고와 박물관의 이해,열광(전국청소년광고동아리),17
2017,07월 30일,광고와 박물관의 이해,열광(전국청소년광고동아리),16
2017,08월 02일,광고와 박물관의 이해,한국개발연구원KDI ,30
2017,11월 23일,광고와 박물관의 이해,목포대 정치언론홍보학과,43
2018,03월 26일,광고와 박물관의 이해,상지대 미디어영상광고학부,61
2018,05월 08일,광고와 박물관의 이해,수원대 미디어커뮤니케이션학과,63
2018,05월 08일,광고와 박물관의 이해,세종대 미디어커뮤니케이션학과,43
2018,05월 03일,광고와 박물관의 이해,한국기술교육대학교 산업경영학부,19
2018,06월 07일,광고와 박물관의 이해,중앙대 디자인학부 시각디자인학과,32
2018,06월 21일,광고와 박물관의 이해,여성가족부 대변인실,10
2018,08월 04일,광고와 박물관의 이해,열광(전국청소년광고동아리),20
2018,08월 05일,광고와 박물관의 이해,열광(전국청소년광고동아리),20
2018,09월 08일,광고기획안 발표 및 코칭,상일여고,18
2019,01월 11일,광고와 박물관의 이해,경북대 신문방송학과,20
2019,04월 02일,광고와 박물관의 이해,수원대 미디어커뮤니케이션학과,31
2019,04월 13일,광고와 박물관의 이해,한라대학교 광고영상미디어학과,30
2019,05월 22일,광고와 박물관의 이해,유한대학교 경영학과 광고미디어경영전공,32
2019,08월 06일,광고와 박물관의 이해,열광(전국청소년광고동아리),17
2019,08월 07일,광고와 박물관의 이해,열광(전국청소년광고동아리),18
2022,05월 12일,광고와 박물관의 이해,고양동산고등학교,24
2022,05월 13일,광고와 박물관의 이해,중산고등학교,14
2022,07월 14일,광고와 박물관의 이해,김천여자고등학교,13
2022,08월 17일,광고와 박물관의 이해,경기 송림고등학교,22
2022,10월 01일,광고와 박물관의 이해,애드파워(대학생광고연합동아리),27
2022,10월 27일,광고와 박물관의 이해,목포대 정치언론홍보학과,28
2022,11월 06일,광고와 박물관의 이해,숙명여대 홍보광고학과,17
2022,11월 18일,광고 크리에이티브,경북대학교 미디어커뮤니케이션학과,22
2023,04월 22일,광고와 박물관의 이해,수원대 미디어커뮤니케이션학과,35
2023,05월 20일,광고와 박물관의 이해,김포청소년재단 고촌청소년문화의집,15
2023,05월 26일,광고와 박물관의 이해,대신중학교,7
2023,07월 06일,광고와 박물관의 이해,강명중학교,21
2023,08월 08일,광고와 박물관의 이해,해룡고등학교(전남영광),11
2024,05월 08일,광고와 박물관의 이해,대청중학교,22
2024,06월 28일,광고와 박물관의 이해,무학중학교,20
2024,08월 30일,광고와 박물관의 이해,숙명여자중학교,16
