년도,월,업종,전망지수
2024,04,음료 및 기호식품,125
2024,04,제약 및 의료,113.8
2024,04,화장품 및 보건용품,100
2024,04,출판,110
2024,04,패션,100
2024,04,산업기기,100
2024,04,정밀기기 및 사무기기,100
2024,04,가정용 전기전자,106.7
2024,04,컴퓨터 및 정보통신,100
2024,04,수송기기,94.1
2024,04,가정용품,100
2024,04,화학공업,100
2024,04,"건설, 건재 및 부동산",94.1
2024,04,유통,103.3
2024,04,"금융, 보험 및 증권",100
2024,04,서비스,101.6
2024,04,관공서 및 단체,103.4
2024,04,교육 및 복지후생,100
2024,04,그룹 및 기업광고,100
2024,05,기초재,100
2024,05,식품,108.1
2024,05,음료 및 기호식품,125
2024,05,제약 및 의료,100
2024,05,화장품 및 보건용품,100
2024,05,출판,100
2024,05,패션,96.9
2024,05,산업기기,100
2024,05,정밀기기 및 사무기기,100
2024,05,가정용 전기전자,100
2024,05,컴퓨터 및 정보통신,100
2024,05,수송기기,93.8
2024,05,가정용품,96.3
2024,05,화학공업,100
2024,05,"건설, 건재 및 부동산",100
2024,05,유통,103.7
2024,05,"금융, 보험 및 증권",102.9
2024,05,서비스,96.9
2024,05,관공서 및 단체,97.4
2024,05,교육 및 복지후생,105.9
2024,05,그룹 및 기업광고,100
2024,06,기초재,100
2024,06,식품,103.5
2024,06,음료 및 기호식품,122.2
2024,06,제약 및 의료,96.2
2024,06,화장품 및 보건용품,100
2024,06,출판,100
2024,06,패션,97
2024,06,산업기기,100
2024,06,정밀기기 및 사무기기,100
2024,06,가정용 전기전자,100
2024,06,컴퓨터 및 정보통신,100
2024,06,수송기기,100
2024,06,가정용품,96.2
2024,06,화학공업,100
2024,06,"건설, 건재 및 부동산",100
2024,06,유통,100
2024,06,"금융, 보험 및 증권",100
2024,06,서비스,100
2024,06,관공서 및 단체,102.6
2024,06,교육 및 복지후생,111.1
2024,06,그룹 및 기업광고,100
2024,07,기초재,100
2024,07,식품,101.8
2024,07,음료 및 기호식품,116.7
2024,07,제약 및 의료,96
2024,07,화장품 및 보건용품,100
2024,07,출판,104.5
2024,07,패션,100
2024,07,산업기기,100
2024,07,정밀기기 및 사무기기,100
2024,07,가정용 전기전자,100
2024,07,컴퓨터 및 정보통신,95.8
2024,07,수송기기,100
2024,07,가정용품,100
2024,07,화학공업,100
2024,07,"건설, 건재 및 부동산",100
2024,07,유통,103.3
2024,07,"금융, 보험 및 증권",100
2024,07,서비스,108.2
2024,07,관공서 및 단체,98.8
2024,07,교육 및 복지후생,100
2024,07,그룹 및 기업광고,90.9
2024,08,기초재,100
2024,08,식품,100
2024,08,음료 및 기호식품,100
2024,08,제약 및 의료,92
2024,08,화장품 및 보건용품,100
2024,08,출판,100
2024,08,패션,102.9
2024,08,산업기기,100
2024,08,정밀기기 및 사무기기,109.1
2024,08,가정용 전기전자,100
2024,08,컴퓨터 및 정보통신,100
2024,08,수송기기,106.3
2024,08,가정용품,100
2024,08,화학공업,100
2024,08,"건설, 건재 및 부동산",105.3
2024,08,유통,100
2024,08,"금융, 보험 및 증권",100
2024,08,서비스,100
2024,08,관공서 및 단체,100
2024,08,교육 및 복지후생,118.8
2024,08,그룹 및 기업광고,100
