번호,기준연월,기준일_범위,이용자구분,단체구분,이용자수
130,2014-06,23일~29일,어린이,개인,6
131,2014-06,23일~29일,청소년,단체,94
132,2014-06,23일~29일,대학생,개인,9
133,2014-06,23일~29일,성인,개인,26
134,2014-06,02일~08일,어린이,개인,7
135,2014-06,02일~08일,청소년,개인,5
136,2014-06,02일~08일,청소년,단체,59
137,2014-06,02일~08일,대학생,개인,12
138,2014-06,02일~08일,성인,개인,10
139,2014-06,09일~15일,어린이,개인,8
140,2014-06,09일~15일,어린이,단체,93
141,2014-06,09일~15일,청소년,개인,9
142,2014-06,09일~15일,청소년,단체,168
143,2014-06,09일~15일,대학생,개인,27
144,2014-06,09일~15일,대학생,단체,24
145,2014-06,09일~15일,성인,개인,33
146,2014-07,14일~20일,어린이,개인,16
147,2014-07,14일~20일,어린이,단체,9
148,2014-07,14일~20일,청소년,개인,3
149,2014-07,14일~20일,청소년,단체,371
150,2014-07,14일~20일,대학생,개인,2
151,2014-07,14일~20일,성인,개인,57
152,2014-07,01일~06일,어린이,개인,3
153,2014-07,01일~06일,청소년,개인,1
154,2014-07,01일~06일,대학생,개인,15
155,2014-07,01일~06일,대학생,단체,15
156,2014-07,01일~06일,성인,개인,27
157,2014-07,21일~27일,어린이,개인,139
158,2014-07,21일~27일,청소년,개인,24
159,2014-07,21일~27일,대학생,개인,11
160,2014-07,21일~27일,성인,개인,148
161,2014-07,28일~31일,어린이,개인,28
162,2014-07,28일~31일,어린이,단체,22
163,2014-07,28일~31일,청소년,개인,16
164,2014-07,28일~31일,대학생,개인,6
165,2014-07,28일~31일,성인,개인,63
166,2014-07,28일~31일,성인,단체,38
167,2014-07,07일~13일,어린이,개인,6
168,2014-07,07일~13일,청소년,개인,71
169,2014-07,07일~13일,청소년,단체,318
170,2014-07,07일~13일,대학생,개인,2
171,2014-07,07일~13일,성인,개인,47
172,2014-08,11일~17일,어린이,개인,138
173,2014-08,11일~17일,어린이,단체,54
174,2014-08,11일~17일,청소년,개인,36
175,2014-08,11일~17일,청소년,단체,44
176,2014-08,11일~17일,대학생,개인,2
177,2014-08,11일~17일,성인,개인,112
178,2014-08,18일~24일,어린이,개인,114
179,2014-08,18일~24일,청소년,개인,16
180,2014-08,18일~24일,청소년,단체,49
181,2014-08,18일~24일,대학생,개인,2
182,2014-08,18일~24일,성인,개인,118
183,2014-08,18일~24일,성인,단체,7
184,2014-08,01일~03일,어린이,개인,44
185,2014-08,01일~03일,청소년,개인,6
186,2014-08,01일~03일,성인,개인,41
187,2014-08,25일~31일,어린이,개인,42
188,2014-08,25일~31일,어린이,단체,73
189,2014-08,25일~31일,청소년,개인,3
190,2014-08,25일~31일,청소년,단체,81
191,2014-08,25일~31일,대학생,개인,9
192,2014-08,25일~31일,성인,개인,43
193,2014-08,25일~31일,성인,단체,12
194,2014-08,04일~10일,어린이,개인,105
195,2014-08,04일~10일,어린이,단체,129
196,2014-08,04일~10일,청소년,개인,36
197,2014-08,04일~10일,청소년,단체,6
198,2014-08,04일~10일,대학생,개인,12
199,2014-08,04일~10일,성인,개인,115
200,2014-08,04일~10일,성인,단체,36
201,2014-09,15일~21일,어린이,개인,3
202,2014-09,15일~21일,어린이,단체,53
203,2014-09,15일~21일,청소년,개인,8
204,2014-09,15일~21일,청소년,단체,97
205,2014-09,15일~21일,대학생,개인,7
206,2014-09,15일~21일,성인,개인,28
207,2014-09,01일~07일,어린이,단체,44
208,2014-09,01일~07일,청소년,개인,6
209,2014-09,01일~07일,청소년,단체,136
210,2014-09,01일~07일,대학생,개인,5
211,2014-09,01일~07일,성인,개인,18
212,2014-09,22일~28일,어린이,개인,3
213,2014-09,22일~28일,청소년,개인,34
214,2014-09,22일~28일,청소년,단체,82
215,2014-09,22일~28일,대학생,개인,30
216,2014-09,22일~28일,성인,개인,20
217,2014-09,29일~30일,청소년,개인,2
218,2014-09,29일~30일,청소년,단체,48
219,2014-09,29일~30일,성인,개인,5
220,2014-09,08일~14일,어린이,개인,3
221,2014-09,08일~14일,청소년,개인,5
222,2014-09,08일~14일,청소년,단체,18
223,2014-09,08일~14일,대학생,개인,7
224,2014-09,08일~14일,성인,개인,17
225,2014-10,13일~19일,어린이,개인,5
226,2014-10,13일~19일,청소년,개인,52
227,2014-10,13일~19일,청소년,단체,243
228,2014-10,13일~19일,대학생,개인,15
229,2014-10,13일~19일,성인,개인,19
230,2014-10,01일~05일,어린이,개인,7
231,2014-10,01일~05일,청소년,단체,11
232,2014-10,01일~05일,대학생,개인,6
233,2014-10,01일~05일,성인,개인,14
234,2014-10,20일~26일,어린이,개인,2
235,2014-10,20일~26일,청소년,개인,26
236,2014-10,20일~26일,청소년,단체,159
237,2014-10,20일~26일,대학생,개인,15
238,2014-10,20일~26일,대학생,단체,43
239,2014-10,20일~26일,성인,개인,18
240,2014-10,27일~31일,어린이,개인,5
241,2014-10,27일~31일,청소년,단체,170
242,2014-10,27일~31일,대학생,개인,16
243,2014-10,27일~31일,대학생,단체,23
244,2014-10,27일~31일,성인,개인,21
245,2014-10,06일~12일,어린이,개인,6
246,2014-10,06일~12일,어린이,단체,109
247,2014-10,06일~12일,청소년,개인,1
248,2014-10,06일~12일,청소년,단체,65
249,2014-10,06일~12일,대학생,개인,9
250,2014-10,06일~12일,성인,개인,18
251,2014-11,10일~16일,어린이,단체,40
252,2014-11,10일~16일,청소년,개인,6
253,2014-11,10일~16일,청소년,단체,30
254,2014-11,10일~16일,대학생,개인,9
255,2014-11,10일~16일,대학생,단체,164
256,2014-11,10일~16일,성인,개인,25
257,2014-11,17일~23일,어린이,단체,47
258,2014-11,17일~23일,청소년,개인,2
259,2014-11,17일~23일,청소년,단체,176
260,2014-11,17일~23일,대학생,개인,4
261,2014-11,17일~23일,성인,개인,16
262,2014-11,01일~02일,어린이,개인,2
263,2014-11,01일~02일,청소년,개인,3
264,2014-11,01일~02일,성인,개인,8
265,2014-11,24일~30일,어린이,개인,2
266,2014-11,24일~30일,어린이,단체,40
267,2014-11,24일~30일,청소년,개인,9
268,2014-11,24일~30일,청소년,단체,105
269,2014-11,24일~30일,대학생,개인,7
270,2014-11,24일~30일,대학생,단체,57
271,2014-11,24일~30일,성인,개인,33
272,2014-11,03일~09일,어린이,개인,3
273,2014-11,03일~09일,청소년,개인,9
274,2014-11,03일~09일,청소년,단체,131
275,2014-11,03일~09일,대학생,개인,41
276,2014-11,03일~09일,성인,개인,24
277,2014-12,15일~21일,어린이,개인,2
278,2014-12,15일~21일,어린이,단체,8
279,2014-12,15일~21일,청소년,개인,30
280,2014-12,15일~21일,청소년,단체,211
281,2014-12,15일~21일,대학생,개인,5
282,2014-12,15일~21일,성인,개인,12
283,2014-12,01일~07일,어린이,개인,3
284,2014-12,01일~07일,어린이,단체,33
285,2014-12,01일~07일,청소년,단체,222
286,2014-12,01일~07일,대학생,개인,21
287,2014-12,01일~07일,성인,개인,22
288,2014-12,22일~28일,어린이,개인,9
289,2014-12,22일~28일,청소년,개인,8
290,2014-12,22일~28일,청소년,단체,152
291,2014-12,22일~28일,대학생,개인,12
292,2014-12,22일~28일,성인,개인,28
293,2014-12,29일~31일,어린이,개인,83
294,2014-12,29일~31일,청소년,개인,3
295,2014-12,29일~31일,성인,개인,65
296,2014-12,08일~14일,어린이,개인,5
297,2014-12,08일~14일,청소년,개인,4
298,2014-12,08일~14일,청소년,단체,140
299,2014-12,08일~14일,대학생,개인,3
300,2014-12,08일~14일,성인,개인,20
301,2014-12,08일~14일,성인,단체,22
302,2015-01,12일~18일,어린이,개인,96
303,2015-01,12일~18일,청소년,개인,7
304,2015-01,12일~18일,청소년,단체,30
305,2015-01,12일~18일,대학생,개인,6
306,2015-01,12일~18일,성인,개인,72
307,2015-01,19일~25일,어린이,개인,108
308,2015-01,19일~25일,어린이,단체,44
309,2015-01,19일~25일,청소년,개인,13
310,2015-01,19일~25일,대학생,개인,2
311,2015-01,19일~25일,성인,개인,94
312,2015-01,01일~04일,어린이,개인,33
313,2015-01,01일~04일,청소년,개인,4
314,2015-01,01일~04일,대학생,개인,1
315,2015-01,01일~04일,성인,개인,30
316,2015-01,26일~31일,어린이,개인,36
317,2015-01,26일~31일,어린이,단체,67
318,2015-01,26일~31일,청소년,개인,12
319,2015-01,26일~31일,대학생,개인,1
320,2015-01,26일~31일,성인,개인,42
321,2015-01,05일~11일,어린이,개인,60
322,2015-01,05일~11일,청소년,개인,8
323,2015-01,05일~11일,청소년,단체,13
324,2015-01,05일~11일,대학생,개인,2
325,2015-01,05일~11일,성인,개인,63
326,2015-02,16일~22일,어린이,개인,1
327,2015-02,16일~22일,청소년,개인,2
328,2015-02,16일~22일,성인,개인,3
329,2015-02,1일,어린이,개인,4
330,2015-02,1일,청소년,개인,3
331,2015-02,1일,성인,개인,11
332,2015-02,23일~28일,어린이,개인,3
333,2015-02,23일~28일,대학생,개인,4
334,2015-02,23일~28일,성인,개인,15
335,2015-02,02일~08일,어린이,개인,9
336,2015-02,02일~08일,청소년,개인,3
337,2015-02,02일~08일,대학생,개인,5
338,2015-02,02일~08일,성인,개인,23
339,2015-02,09일~15일,어린이,개인,11
340,2015-02,09일~15일,청소년,개인,3
341,2015-02,09일~15일,대학생,개인,1
342,2015-02,09일~15일,성인,개인,23
343,2015-03,16일~22일,어린이,개인,7
344,2015-03,16일~22일,청소년,개인,2
345,2015-03,16일~22일,성인,개인,24
346,2015-03,23일~29일,어린이,개인,4
347,2015-03,23일~29일,청소년,개인,8
348,2015-03,23일~29일,청소년,단체,22
349,2015-03,23일~29일,대학생,개인,16
350,2015-03,23일~29일,대학생,단체,11
351,2015-03,23일~29일,성인,개인,35
352,2015-03,02일~08일,어린이,개인,7
353,2015-03,02일~08일,청소년,개인,1
354,2015-03,02일~08일,대학생,개인,2
355,2015-03,02일~08일,성인,개인,20
356,2015-03,30일~31일,청소년,단체,20
357,2015-03,30일~31일,대학생,개인,6
358,2015-03,30일~31일,성인,개인,2
359,2015-03,09일~15일,어린이,개인,6
360,2015-03,09일~15일,청소년,개인,11
361,2015-03,09일~15일,대학생,개인,1
362,2015-03,09일~15일,성인,개인,54
363,2015-04,13일~19일,어린이,개인,1
364,2015-04,13일~19일,청소년,개인,4
365,2015-04,13일~19일,청소년,단체,61
366,2015-04,13일~19일,대학생,개인,6
367,2015-04,13일~19일,성인,개인,25
368,2015-04,01일~05일,어린이,개인,8
369,2015-04,01일~05일,청소년,단체,58
370,2015-04,01일~05일,대학생,개인,39
371,2015-04,01일~05일,대학생,단체,24
372,2015-04,01일~05일,성인,개인,16
373,2015-04,20일~26일,어린이,개인,3
374,2015-04,20일~26일,어린이,단체,180
375,2015-04,20일~26일,청소년,단체,64
376,2015-04,20일~26일,대학생,개인,3
377,2015-04,20일~26일,성인,개인,36
378,2015-04,27일~30일,청소년,단체,330
379,2015-04,27일~30일,대학생,개인,11
380,2015-04,27일~30일,대학생,단체,51
381,2015-04,27일~30일,성인,개인,4
382,2015-04,06일~12일,어린이,개인,11
383,2015-04,06일~12일,청소년,개인,7
384,2015-04,06일~12일,청소년,단체,145
385,2015-04,06일~12일,대학생,개인,7
386,2015-04,06일~12일,대학생,단체,11
387,2015-04,06일~12일,성인,개인,17
388,2015-05,11일~17일,어린이,개인,4
389,2015-05,11일~17일,청소년,개인,26
390,2015-05,11일~17일,청소년,단체,141
391,2015-05,11일~17일,대학생,개인,15
392,2015-05,11일~17일,대학생,단체,118
393,2015-05,11일~17일,성인,개인,24
394,2015-05,18일~24일,어린이,개인,1
395,2015-05,18일~24일,어린이,단체,11
396,2015-05,18일~24일,청소년,개인,4
397,2015-05,18일~24일,청소년,단체,300
398,2015-05,18일~24일,대학생,개인,9
399,2015-05,18일~24일,성인,개인,19
400,2015-05,01일~03일,어린이,개인,8
401,2015-05,01일~03일,청소년,개인,14
402,2015-05,01일~03일,청소년,단체,35
403,2015-05,01일~03일,대학생,개인,15
404,2015-05,01일~03일,대학생,단체,7
405,2015-05,01일~03일,성인,개인,21
406,2015-05,25일~31일,어린이,개인,2
407,2015-05,25일~31일,청소년,개인,29
408,2015-05,25일~31일,청소년,단체,163
409,2015-05,25일~31일,대학생,개인,5
410,2015-05,25일~31일,성인,개인,43
411,2015-05,04일~10일,어린이,개인,2
412,2015-05,04일~10일,청소년,개인,31
413,2015-05,04일~10일,청소년,단체,48
414,2015-05,04일~10일,대학생,개인,18
415,2015-05,04일~10일,성인,개인,9
416,2015-06,15일~21일,어린이,개인,2
417,2015-06,15일~21일,청소년,단체,9
418,2015-06,15일~21일,대학생,개인,4
419,2015-06,15일~21일,대학생,단체,81
420,2015-06,15일~21일,성인,개인,22
421,2015-06,01일~07일,청소년,개인,11
422,2015-06,01일~07일,청소년,단체,37
423,2015-06,01일~07일,대학생,개인,27
424,2015-06,01일~07일,성인,개인,11
425,2015-06,01일~07일,성인,단체,10
426,2015-06,22일~28일,어린이,개인,1
427,2015-06,22일~28일,청소년,개인,1
428,2015-06,22일~28일,청소년,단체,17
429,2015-06,22일~28일,대학생,개인,5
430,2015-06,22일~28일,성인,개인,25
431,2015-06,29일~30일,대학생,개인,6
432,2015-06,29일~30일,성인,개인,1
433,2015-06,08일~14일,어린이,개인,1
434,2015-06,08일~14일,청소년,개인,1
435,2015-06,08일~14일,청소년,단체,179
436,2015-06,08일~14일,대학생,개인,4
437,2015-06,08일~14일,성인,개인,9
438,2015-07,13일~19일,어린이,개인,5
439,2015-07,13일~19일,청소년,개인,3
440,2015-07,13일~19일,청소년,단체,259
441,2015-07,13일~19일,대학생,개인,1
442,2015-07,13일~19일,성인,개인,32
443,2015-07,01일~05일,어린이,개인,5
444,2015-07,01일~05일,청소년,개인,2
445,2015-07,01일~05일,청소년,단체,16
446,2015-07,01일~05일,대학생,개인,4
447,2015-07,01일~05일,성인,개인,16
448,2015-07,20일~26일,어린이,개인,74
449,2015-07,20일~26일,청소년,개인,17
450,2015-07,20일~26일,대학생,개인,5
451,2015-07,20일~26일,성인,개인,64
452,2015-07,27일~31일,어린이,개인,50
453,2015-07,27일~31일,청소년,개인,23
454,2015-07,27일~31일,청소년,단체,39
455,2015-07,27일~31일,대학생,개인,9
456,2015-07,27일~31일,성인,개인,38
457,2015-07,27일~31일,성인,단체,15
458,2015-07,06일~12일,어린이,개인,4
459,2015-07,06일~12일,청소년,개인,9
460,2015-07,06일~12일,청소년,단체,256
461,2015-07,06일~12일,대학생,개인,1
462,2015-07,06일~12일,성인,개인,47
463,2015-08,10일~16일,어린이,개인,35
464,2015-08,10일~16일,어린이,단체,13
465,2015-08,10일~16일,청소년,개인,4
466,2015-08,10일~16일,청소년,단체,114
467,2015-08,10일~16일,대학생,개인,4
468,2015-08,10일~16일,성인,개인,32
469,2015-08,17일~23일,어린이,개인,16
470,2015-08,17일~23일,어린이,단체,56
471,2015-08,17일~23일,청소년,개인,7
472,2015-08,17일~23일,청소년,단체,55
473,2015-08,17일~23일,성인,개인,22
474,2015-08,01일~02일,어린이,개인,8
475,2015-08,01일~02일,청소년,개인,2
476,2015-08,01일~02일,대학생,개인,1
477,2015-08,01일~02일,성인,개인,7
478,2015-08,24일~30일,어린이,개인,2
479,2015-08,24일~30일,어린이,단체,26
480,2015-08,24일~30일,청소년,개인,3
481,2015-08,24일~30일,청소년,단체,289
482,2015-08,24일~30일,대학생,개인,6
483,2015-08,24일~30일,대학생,단체,8
484,2015-08,24일~30일,성인,개인,21
485,2015-08,03일~09일,어린이,개인,36
486,2015-08,03일~09일,청소년,개인,58
487,2015-08,03일~09일,청소년,단체,27
488,2015-08,03일~09일,성인,개인,44
489,2015-09,14일~20일,어린이,개인,6
490,2015-09,14일~20일,어린이,단체,5
491,2015-09,14일~20일,청소년,개인,2
492,2015-09,14일~20일,청소년,단체,162
493,2015-09,14일~20일,대학생,개인,20
494,2015-09,14일~20일,성인,개인,26
495,2015-09,14일~20일,성인,단체,16
496,2015-09,01일~06일,어린이,개인,4
497,2015-09,01일~06일,청소년,단체,243
498,2015-09,01일~06일,대학생,개인,2
499,2015-09,01일~06일,성인,개인,24
500,2015-09,21일~27일,어린이,개인,3
501,2015-09,21일~27일,청소년,개인,24
502,2015-09,21일~27일,청소년,단체,197
503,2015-09,21일~27일,대학생,단체,31
504,2015-09,21일~27일,성인,개인,6
505,2015-09,28일~30일,성인,개인,4
506,2015-09,07일~13일,어린이,단체,36
507,2015-09,07일~13일,청소년,개인,11
508,2015-09,07일~13일,청소년,단체,93
509,2015-09,07일~13일,대학생,개인,12
510,2015-09,07일~13일,성인,개인,24
511,2015-10,12일~18일,어린이,개인,5
512,2015-10,12일~18일,어린이,단체,25
513,2015-10,12일~18일,청소년,개인,7
514,2015-10,12일~18일,청소년,단체,365
515,2015-10,12일~18일,대학생,개인,6
516,2015-10,12일~18일,성인,개인,14
517,2015-10,19일~25일,어린이,개인,12
518,2015-10,19일~25일,청소년,개인,11
519,2015-10,19일~25일,청소년,단체,99
520,2015-10,19일~25일,대학생,개인,5
521,2015-10,19일~25일,대학생,단체,34
522,2015-10,19일~25일,성인,개인,12
523,2015-10,01일~04일,어린이,개인,2
524,2015-10,01일~04일,청소년,개인,7
525,2015-10,01일~04일,청소년,단체,40
526,2015-10,01일~04일,대학생,개인,12
527,2015-10,01일~04일,성인,개인,2
528,2015-10,26일~31일,어린이,개인,2
529,2015-10,26일~31일,청소년,개인,4
530,2015-10,26일~31일,청소년,단체,120
531,2015-10,26일~31일,대학생,개인,8
532,2015-10,26일~31일,성인,개인,17
533,2015-10,05일~11일,어린이,개인,6
534,2015-10,05일~11일,어린이,단체,57
535,2015-10,05일~11일,청소년,개인,26
536,2015-10,05일~11일,청소년,단체,146
537,2015-10,05일~11일,대학생,개인,10
538,2015-10,05일~11일,성인,개인,13
539,2015-11,16일~22일,어린이,개인,5
540,2015-11,16일~22일,청소년,개인,4
541,2015-11,16일~22일,청소년,단체,111
542,2015-11,16일~22일,대학생,개인,18
543,2015-11,16일~22일,성인,개인,39
544,2015-11,1일,청소년,개인,3
545,2015-11,1일,성인,개인,1
546,2015-11,23일~29일,어린이,개인,3
547,2015-11,23일~29일,어린이,단체,20
548,2015-11,23일~29일,청소년,개인,2
549,2015-11,23일~29일,청소년,단체,179
550,2015-11,23일~29일,대학생,개인,4
551,2015-11,23일~29일,대학생,단체,22
552,2015-11,23일~29일,성인,개인,21
553,2015-11,02일~08일,어린이,개인,1
554,2015-11,02일~08일,어린이,단체,40
555,2015-11,02일~08일,청소년,개인,8
556,2015-11,02일~08일,청소년,단체,82
557,2015-11,02일~08일,대학생,단체,168
558,2015-11,02일~08일,성인,개인,23
559,2015-11,09일~15일,어린이,개인,1
560,2015-11,09일~15일,청소년,개인,7
561,2015-11,09일~15일,청소년,단체,148
562,2015-11,09일~15일,대학생,개인,29
563,2015-11,09일~15일,대학생,단체,9
564,2015-11,09일~15일,성인,개인,11
565,2015-12,14일~20일,어린이,개인,2
566,2015-12,14일~20일,청소년,개인,7
567,2015-12,14일~20일,청소년,단체,106
568,2015-12,14일~20일,대학생,개인,18
569,2015-12,14일~20일,성인,개인,31
570,2015-12,01일~06일,어린이,개인,5
571,2015-12,01일~06일,청소년,개인,3
572,2015-12,01일~06일,청소년,단체,90
573,2015-12,01일~06일,대학생,개인,14
574,2015-12,01일~06일,성인,개인,38
575,2015-12,21일~27일,어린이,개인,10
576,2015-12,21일~27일,청소년,개인,2
577,2015-12,21일~27일,청소년,단체,29
578,2015-12,21일~27일,대학생,개인,2
579,2015-12,21일~27일,성인,개인,36
580,2015-12,28일~31일,어린이,개인,2
581,2015-12,28일~31일,청소년,개인,6
582,2015-12,28일~31일,대학생,개인,2
583,2015-12,28일~31일,성인,개인,17
584,2015-12,07일~13일,어린이,개인,6
585,2015-12,07일~13일,청소년,개인,1
586,2015-12,07일~13일,청소년,단체,128
587,2015-12,07일~13일,대학생,단체,54
588,2015-12,07일~13일,성인,개인,16
589,2016-01,11일~17일,어린이,개인,37
590,2016-01,11일~17일,어린이,단체,61
591,2016-01,11일~17일,청소년,개인,19
592,2016-01,11일~17일,대학생,개인,1
593,2016-01,11일~17일,성인,개인,36
594,2016-01,18일~24일,어린이,개인,38
595,2016-01,18일~24일,어린이,단체,143
596,2016-01,18일~24일,청소년,개인,9
597,2016-01,18일~24일,청소년,단체,28
598,2016-01,18일~24일,대학생,개인,2
599,2016-01,18일~24일,대학생,단체,20
600,2016-01,18일~24일,성인,개인,38
601,2016-01,01일~03일,어린이,개인,8
602,2016-01,01일~03일,어린이,단체,22
603,2016-01,01일~03일,청소년,개인,4
604,2016-01,01일~03일,성인,개인,7
605,2016-01,25일~31일,어린이,개인,24
606,2016-01,25일~31일,어린이,단체,35
607,2016-01,25일~31일,청소년,개인,17
608,2016-01,25일~31일,대학생,개인,26
609,2016-01,25일~31일,성인,개인,27
610,2016-01,04일~10일,어린이,개인,36
611,2016-01,04일~10일,어린이,단체,76
612,2016-01,04일~10일,청소년,개인,9
613,2016-01,04일~10일,청소년,단체,15
614,2016-01,04일~10일,대학생,개인,2
615,2016-01,04일~10일,성인,개인,37
616,2016-01,04일~10일,성인,단체,57
617,2016-02,15일~21일,어린이,개인,17
618,2016-02,15일~21일,청소년,개인,4
619,2016-02,15일~21일,대학생,개인,1
620,2016-02,15일~21일,성인,개인,32
621,2016-02,01일~07일,어린이,개인,5
622,2016-02,01일~07일,청소년,개인,2
623,2016-02,01일~07일,대학생,개인,2
624,2016-02,01일~07일,성인,개인,21
625,2016-02,22일~28일,어린이,개인,13
626,2016-02,22일~28일,청소년,개인,10
627,2016-02,22일~28일,대학생,개인,8
628,2016-02,22일~28일,성인,개인,31
629,2016-02,08일~14일,어린이,개인,12
630,2016-02,08일~14일,청소년,개인,9
631,2016-02,08일~14일,청소년,단체,26
632,2016-02,08일~14일,대학생,개인,4
633,2016-02,08일~14일,성인,개인,26
634,2016-03,14일~20일,어린이,개인,12
635,2016-03,14일~20일,청소년,단체,27
636,2016-03,14일~20일,대학생,개인,8
637,2016-03,14일~20일,대학생,단체,15
638,2016-03,14일~20일,성인,개인,59
639,2016-03,01일~06일,어린이,개인,16
640,2016-03,01일~06일,청소년,개인,2
641,2016-03,01일~06일,대학생,개인,2
