파일명,년도,광고주,대분류,중분류,소분류,제품명,제목,대행사
A1A00020.wma,1993,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼CF,엔진에힘을,나라기획
A1A00021.wma,1994,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼SH,애차가가선택,나라기획
A1A00022.wma,1994,쌍용정유,기초재,"석탄, 석유 및 가스",윤활유,드래곤슈퍼CF,삶의현장에서선택,나라기획
A1A00023.wma,,SK(주),기초재,"석탄, 석유 및 가스",윤활유,지크,걱정편,네트워크애드
A1A00024.wma,,SK(주),기초재,"석탄, 석유 및 가스",윤활유,지크,망설임편,네트워크애드
A1A00025.wma,,SK(주),기초재,"석탄, 석유 및 가스",윤활유,지크,굴비편,네트워크애드
radio2000_001.mp3,,모빌코리아윤활유(주),기초재,"석탄, 석유 및 가스",윤활유,모빌원,새차부터 모빌원,(주)리앤디디비
radio2000_002.mp3,,모빌코리아윤활유(주),기초재,"석탄, 석유 및 가스",윤활유,모빌델박,트럭전용 고성능 엔진오일,(주)리앤디디비
radio2000_003.mp3,,에쓰-오일(주),기초재,"석탄, 석유 및 가스",연료유,슈퍼클린플러스,연비개선 휘발유,나라기획
radio2000_005.mp3,,한국쉘석유(주),기초재,"석탄, 석유 및 가스",윤활유,쉘 힐릭스,페라리가 선택한 엔진오일,제이더블유티 애드벤처(주)
A2000002.wma,,롯데제과(주),식품,제과,껌,화이트E,김지호편,(주)대홍기획
A2000004.wma,,해태제과식품(주)서울지점,식품,제과,스낵,맛동산,거꾸로부르기,(주)코래드
A2000006.wma,1997,(주)크라운제과,식품,제과,비스켓 및 쿠키,크라운하임,하임여름편,거손
A2000007.wma,,(주)풀무원,식품,면류,봉지 인스턴트 면류,풀무원냉동면,맛을 얼렸습니다,(주)제일기획
A2000013.wma,,(주)농심,식품,면류,봉지 인스턴트 면류,너구리,너구리한마리편,(주)대홍기획
A2000015.wma,,(주)농심,식품,면류,용기 인스턴트 면류,사발면,트롯트편,(주)대홍기획
A2000016.wma,,(주)농심,식품,면류,봉지 인스턴트 면류,짜파게티,짜파게티가족요리사편,
A2000018.wma,,제일제당,식품,조미향신료,조미료,다시다,아침인사편,(주)제일기획
A2000019.wma,,제일제당,식품,조미향신료,조미료,다시다,귀향편,(주)제일기획
A2000020.wma,,제일제당,식품,조미향신료,조미료,다시다,송편편,(주)제일기획
A2000021.wma,,제일제당,식품,조미향신료,조미료,다시다,절구편,(주)제일기획
A2000022.wma,,제일제당,식품,조미향신료,조미료,다시다,외할머니편,(주)제일기획
A2000023.wma,,제일제당,식품,조미향신료,조미료,다시다,할머니의 얘기보따리편,(주)제일기획
A2000024.wma,,제일제당,식품,조미향신료,조미료,다시다,질화로편,(주)제일기획
A2000025.wma,,제일제당,식품,조미향신료,조미료,다시다,동지팥죽편,(주)제일기획
A2000026.wma,,제일제당,식품,조미향신료,조미료,다시다,봄편,(주)제일기획
A2000027.wma,,제일제당,식품,조미향신료,조미료,다시다,여름편,(주)제일기획
A2000028.wma,,제일제당,식품,조미향신료,조미료,다시다,가을편,(주)제일기획
A2000029.wma,,(주)삼양사,식품,면류,봉지 인스턴트 면류,삼양200냥,매워편,(주)제일기획
A2000030.wma,,(주)삼양사,식품,면류,봉지 인스턴트 면류,짜짜로니,후라멩고리듬편,(주)제일기획
A2000031.wma,,(주)삼양사,식품,면류,봉지 인스턴트 면류,라또마니,DJ편,(주)제일기획
A2000032.wma,,제일제당,식품,조미향신료,감미료,화인스위트,한경애편,(주)제일기획
A2000033.wma,,제일제당,식품,농산품,가루식품,핫케익가루,씨즐편,(주)제일기획
A2000034.wma,,(주)오뚜기,식품,대용식품,레토르트,오뚜기바몬드카레,사과와벌꿀을넣은카레,(주)오리콤
A2000035.wma,,(주)오뚜기,식품,대용식품,레토르트,오뚜기3분요리,언제나 즉시 드실 수 있어요,(주)오리콤
A2000036.wma,1987,우성식품(주),식품,농산품,곡류원산,블루다이아몬드,조영남노래,(주)오리콤
A2000042.wma,,서울우유협동조합,식품,유제품,우유,서울우유,꿈나무편,연합광고
A2000043.wma,,서울우유협동조합,식품,유제품,치즈,서울우유치즈,체다슬라이스치즈편,연합광고
A2000044.wma,,(주)크라운제과,식품,제과,비스켓 및 쿠키,쿠크다스,아름다운마음편,연합광고
A2000046.wma,,(주)고려당,식품,제과,초코릿,라슈망초코렛,바렌타이데이,(주)MBC애드컴
A2000048.wma,,해태제과식품(주)서울지점,식품,제과,껌,은단껌,마음이 답답할때,(주)코래드
A2000050.wma,,남양유업(주),식품,유제품,우유,3.4우유,진짜사나이편,(주)서울광고
A2000069.wma,,나이스통상,식품,건강식품,다이어트식품,나이스통상다이어트식품,다이어트식품,(주)오리콤
A2000082.wma,,신한일상사,식품,조미향신료,조미료,고래표고소미,새로나온고소미,(주)오리콤
A2000087.wma,,해태제과식품(주)서울지점,식품,제과,껌,레몬껌,핸드백의 멋진 친구,(주)코래드
A2000088.wma,,해태제과식품(주)서울지점,식품,제과,캔디,허브큐,하루가 상쾌합니다,(주)코래드
A2000089.wma,,(주)도투락,식품,축산품,기타 축산가공품,홈파티돈까스,우리 맘을 잘 아는 엄마,
A2000090.wma,,(주)오뚜기,식품,면류,봉지 인스턴트 면류,라면박사,우리집은 라면박사집,
A2000091.wma,,롯데제과(주),식품,제과,캔디,목캔디,모과와 멘솔성분,(주)대홍기획
A2000092.wma,,롯데제과(주),식품,제과,껌,노타임껌,식후 한 알,(주)대홍기획
A2A00002.wma,1992,(주)진주햄,식품,조미향신료,소스 및 장국,즉석된장국,국물이개운한,
A2A00003.wma,1993,(주)비락,식품,유제품,우유,비락우유,밝고건강하게,
A2A00004.wma,1993,(주)삼립식품,식품,제빵,"빵, 케익 및 떡",더블소프트,부드러움이눈으로보인다,
A2A00005.wma,1993,(주)미원,식품,조미향신료,복합양념,감치미,고급양념,
A2A00008.wma,1995,(주)한독건강,식품,건강식품,다이어트식품,다이어트라쉐이크,흔들어마셔요,
A2A00017.wma,1997,산내들,식품,조미향신료,복합양념,산내들한우양념,원칙을지켜만든,(주)엘지애드
A2A00020.wma,,(주)삼화식품,식품,조미향신료,장류,삼화간장,믿고찾는,(주)엘지애드
A2A00024.wma,,부산우유,식품,유제품,우유,부산우유,내고장의원유로만든,(주)엘지애드
A2A00025.wma,1991,제일제당,식품,면류,봉지 인스턴트 면류,본가당면,참편리해요,(주)제일기획
A2A00026.wma,1991,제일제당,식품,수산품,젓갈 및 액젓,본가멸치액젖,1년간숙성시켜우려내요,(주)제일기획
A2A00029.wma,1991,남양산업,식품,유제품,이유식,남양아기밀,아기밀은이유식입니다,(주)제일기획
A2A00048.wma,,동양제과,식품,제과,비스켓 및 쿠키,쵸코칩쿠키,친구,(주)제일기획
A2A00059.wma,1993,제일제당,식품,축산품,햄 및 소시지,백설햄,반찬투정이잠잠해져요,(주)제일기획
A2A00067.wma,1992,남양산업,식품,유제품,이유식,아기밀,선택이중요합니다,(주)제일기획
A2A00071.wma,1993,(주)풀무원,식품,면류,봉지 인스턴트 면류,생냉면,저는방법이있어요,(주)제일기획
A2A00072.wma,1993,(주)풀무원,식품,면류,봉지 인스턴트 면류,생칼국수,지금도방법있어요,(주)제일기획
A2A00073.wma,,(주)풀무원,식품,면류,봉지 인스턴트 면류,풀무원생면,살아있는맛을위하여,(주)제일기획
A2A00076.wma,1993,동양제과,식품,제과,파이,초코파이,국민학교책걸상을높여주세요,(주)제일기획
A2A00083.wma,1994,제일제당,식품,축산품,기타 축산가공품,쇠고기꼬마완자,창편,(주)제일기획
A2A00085.wma,1994,(주)풀무원,식품,건강식품,다이어트식품,풀무원다이어트,한다면한다,(주)제일기획
A2A00091.wma,1994,동서식품(주),식품,식품 기타,식품 제품종합,동서선물세트,전하고싶습니다,(주)제일기획
A2A00101.wma,1995,(주)풀무원,식품,면류,봉지 인스턴트 면류,풀무원생라면,촉촉한생라면입니다,(주)제일기획
A2A00106.wma,1995,(주)한성기업,식품,농산품,농산통조림,한성아이캔,영양많은야채간식,(주)제일기획
A2A00108.wma,,한국시카고피자(주),식품,제빵,"햄버거, 피자 및 샌드위치",시카고피자,식을틈이없어요,(주)제일기획
A2A00112.wma,1995,제일제당,식품,조미향신료,조미료,쇠고기다시다,두루두루쓰여요,(주)제일기획
A2A00129.wma,1993,동양제과,식품,제과,파이,쵸코파이,국민학교책걸상교체편,(주)제일기획
A2A00131.wma,,동양제과,식품,제과,파이,쵸코파이,초코파이20년,(주)제일기획
A2A00141.wma,1994,제일제당,식품,조미향신료,참기름 및 들기름,진한참기름,진한참기름,(주)제일기획
A2A00144.wma,,(주)풀무원,식품,식품 기타,식품 기타,돌어름,특별한여름,(주)제일기획
A2A00146.wma,1994,동양제과,식품,제과,스낵,엑서스,혼자있는시간이싫다,(주)제일기획
A2A00149.wma,1994,동서식품(주),식품,식품 기타,식품 제품종합,선물셋트,사랑과감사,(주)제일기획
A2A00161.wma,1995,(주)한성기업,식품,농산품,농산통조림,아이캔,영양간식,(주)제일기획
A2A00162.wma,1995,(주)풀무원,식품,면류,봉지 인스턴트 면류,생라면,느끼하지않는라면,(주)제일기획
A2A00163.wma,1995,한국시카고피자(주),식품,제빵,"햄버거, 피자 및 샌드위치",시카고피자,부드러운 피자,(주)제일기획
A2A00167.wma,1995,(주)풀무원,식품,건강식품,다이어트식품,다이어트,달라진나,(주)제일기획
A2A00171.wma,,제일제당,식품,수산품,생수산품,통살코기,속살이보여요,(주)제일기획
A2A00175.wma,,(주)한성기업,식품,농산품,농산통조림,아이캔,감자쌜러드를캔으로,(주)제일기획
A2A00176.wma,1995,(주)한성기업,식품,농산품,농산통조림,아이캔,난할수있다,(주)제일기획
A2A00178.wma,1995,(주)한성기업,식품,대용식품,즉석밥 및 즉석죽,스타트,즉석죽,(주)제일기획
A2A00185.wma,1996,(주)풀무원,식품,면류,봉지 인스턴트 면류,생라면,또하나좋아하는것,(주)제일기획
A2A00190.wma,1996,(주)풀무원,식품,건강식품,다이어트식품,다이어트,남자들이좋아하는여자,(주)제일기획
A2A00198.wma,1996,(주)풀무원,식품,면류,봉지 인스턴트 면류,즉석쌜러드면,야채소리,(주)제일기획
A2A00201.wma,1996,(주)풀무원,식품,면류,봉지 인스턴트 면류,즉석쌜러드면,자연의소리,(주)제일기획
A2A00203.wma,1996,(주)한성기업,식품,대용식품,즉석밥 및 즉석죽,뿌비토,밥잘먹는아이들을위해,(주)제일기획
A2A00211.wma,,(주)오뚜기,식품,면류,봉지 인스턴트 면류,오뚜기스넥면,맛있는것만권해요,해동
A2A00213.wma,,매일유업(주),식품,유제품,이유식,맘마밀,쌀부터자신있는이유식,한인기획
A2A00214.wma,,매일유업(주),식품,유제품,이유식,맘마밀,이유식은선택기준,한인기획
A2A00215.wma,,(주)오뚜기,식품,대용식품,레토르트,바몬드카레,오늘저녁,선연커뮤니케이션즈
A2A00216.wma,,(주)농심,식품,제과,스낵,5-화이바,섬유질은많은스넥,CM뉴스
A2A00217.wma,,동서식품(주),식품,대용식품,씨리얼,포스트쵸코후레이크,사르르녹아요,CM뉴스
A2A00219.wma,,(주)한성기업,식품,수산품,젓갈 및 액젓,한성젓갈,감칠맛이살아있습니다,
A2A00224.wma,,(주)오뚜기,식품,대용식품,레토르트,오뚜기바몬드카레,여름편,
A2A00228.wma,,해태제과식품(주)서울지점,식품,제과,파이,스틱파이,길어서좋은것,(주)코래드
A2A00229.wma,,(주)엘지화학,식품,조미향신료,복합양념,맛그린불고기양념장,양념이20가지에요,(주)엘지애드
A2A00230.wma,,제일제당,식품,축산품,햄 및 소시지,포캠,기름기가눈에띄게줄었네,영상인
A2A00231.wma,,신송식품(주),식품,조미향신료,장류,자연초고추장,고추장의고향은자연입니다,필립미디어
A2A00232.wma,,(주)롯데햄,식품,축산품,햄 및 소시지,롯데쇠고기햄,깜짝놀랐습니다,(주)대홍기획
A2A00233.wma,1994,(주)크라운제과,식품,제과,스낵,크라운카땅,제가즐겨먹는것은,
A2A00235.wma,1994,(주)삼양사,식품,면류,봉지 인스턴트 면류,삼양라면,더맛있는것같애,
A2A00237.wma,1994,(주)삼양사,식품,면류,봉지 인스턴트 면류,삼양손칼국수,기름에튀기지않았어요,
A2A00238.wma,1994,(주)크라운제과,식품,제과,초코릿,미니쉘,더예뻐졌어요,
A2A00239.wma,1994,(주)크라운베이커리,식품,식품 기타,식품 기업공고,크라운주부큰잔치,제5회크라운베이커리주부대잔치,
A2A00242.wma,1994,해태제과식품(주)서울지점,식품,대용식품,씨리얼,누가초코렛,새로운기쁨이씹힌다,
A2A00245.wma,1995,(주)크라운제과,식품,제과,초코릿,미니쉘,나누어먹으면다맛있어요,
A2A00246.wma,1995,(주)크라운제과,식품,제과,초코릿,미니쉘,숙제편,
A2A00250.wma,1994,해태제과식품(주)서울지점,식품,제빵,"빵, 케익 및 떡",텐더롤,오랜지맛,동국CM
A2A00252.wma,1994,클로로필,식품,제과,껌,클로로필,염록소가입안에서톡톡,
A2A00253.wma,1994,파스퇴르유업(주),식품,유제품,우유,파스퇴르어린이용후레시우유,안심하고먹일수있습니다,일우
A2A00254.wma,,(주)오뚜기,식품,대용식품,레토르트,오뚜기바몬드카레골드,식구들이봄을타는지,CM뉴스
A2A00255.wma,,해태제과식품(주)서울지점,식품,제과,스낵,해태아몬디아,나같은여자,(주)코래드
A2A00256.wma,,농심켈로그(주),식품,대용식품,씨리얼,켈로그콘프레이크,영양이충분해요,스펙트럼
A2A00257.wma,,(주)오뚜기,식품,대용식품,레토르트,바몬드카레골드,장래의월드컵선수감이예요,선연커뮤니케이션즈
A2A00258.wma,,(주)오뚜기,식품,조미향신료,복합양념,오뚜기불고기양념,전문가의맛,선연커뮤니케이션즈
A2A00259.wma,,(주)오뚜기,식품,조미향신료,참기름 및 들기름,오뚜기참기름,왜더고소할까요,하나프로
A2A00260.wma,,동양제과,식품,제과,초코릿,마일드초코크런치,먹는걸로승부하자,
A2A00261.wma,,농심켈로그(주),식품,대용식품,씨리얼,켈로그콘푸레이크,영양이충분해요,레오보넷선연
A2A00262.wma,,동양제과,식품,제과,제과 기타,터치볼,입안에서사르르,(주)제일기획
A2A00263.wma,,동서식품(주),식품,대용식품,씨리얼,포스트아몬드프레이크,아침은우아하게드세요,APPLE
A2A00265.wma,,동양제과,식품,제과,껌,원조후라보노,음식냄새에는,(주)제일기획
A2A00266.wma,1994,해태유업,식품,제과,캬라멜과 제리,또모꼬,또먹고싶다,두진기획
A2A00267.wma,1994,매일유업(주),식품,유제품,이유식,맘마밀,철원새쌀로만드는,
A2A00270.wma,1991,(주)빙그레,식품,면류,봉지 인스턴트 면류,양념복음면,색다른라면,삼희기획
A2A00271.wma,1994,(주)빙그레,식품,면류,봉지 인스턴트 면류,이라면,양념볶음면,삼희기획
A2A00273.wma,1992,(주)빙그레,식품,아이스크림,아이스크림 기타,붕어싸만코,맛있는아이스크림,삼희기획
A2A00276.wma,1991,(주)롯데햄,식품,축산품,햄 및 소시지,햄터치,푸짐한햄,(주)대홍기획
A2A00277.wma,1991,(주)롯데삼강,식품,아이스크림,카톤 및 훼미리,임페리얼,온가족아좋아하는아이스크림,(주)대홍기획
A2A00278.wma,1991,(주)롯데삼강,식품,아이스크림,카톤 및 훼미리,구구콘,구구탤런트,(주)대홍기획
A2A00279.wma,1992,(주)롯데햄,식품,축산품,햄 및 소시지,스모키,맛이보인다,(주)대홍기획
A2A00280.wma,1992,(주)롯데햄,식품,축산품,햄 및 소시지,롯데햄터치,도시락반찬,(주)대홍기획
A2A00281.wma,1992,(주)롯데삼강,식품,아이스크림,콘,자이안트,아이스크림광을위해,(주)대홍기획
A2A00282.wma,1992,롯데제과(주),식품,제빵,"빵, 케익 및 떡",후레쉬베리,부드러운케익,(주)대홍기획
A2A00284.wma,1992,(주)농심,식품,면류,봉지 인스턴트 면류,안성탕면,얼큰한안성탕면,(주)대홍기획
A2A00290.wma,1992,(주)롯데삼강,식품,아이스크림,스틱 및 바,빅보,더울때,(주)대홍기획
A2A00291.wma,1992,롯데제과(주),식품,제과,껌,후라보노껌,차이를알수있다,(주)대홍기획
A2A00292.wma,1992,(주)롯데삼강,식품,아이스크림,아이스크림 기타,가리비,가리비알아요,(주)대홍기획
A2A00293.wma,1992,롯데제과(주),식품,제과,제과 기타,블랙죠,맛에도색깔이있다,(주)대홍기획
A2A00296.wma,1993,(주)농심,식품,면류,봉지 인스턴트 면류,신라면,매운라면,(주)대홍기획
A2A00299.wma,1993,처가집양념통닭,식품,축산품,치킨가공품,핫픽,양념통닭,(주)대홍기획
A2A00300.wma,1993,(주)롯데삼강,식품,아이스크림,스틱 및 바,별난바,정말별란바,(주)대홍기획
A2A00301.wma,1993,(주)농심,식품,면류,봉지 인스턴트 면류,신라면,사나이울리는신라면,(주)대홍기획
A2A00303.wma,1993,롯데제과(주),식품,제과,껌,어텐션껌,학생편,(주)대홍기획
A2A00304.wma,1993,롯데제과(주),식품,제과,껌,어텐션껌,회사원편,(주)대홍기획
A2A00305.wma,1993,롯데제과(주),식품,제과,껌,어텐션껌,운전자편,(주)대홍기획
A2A00306.wma,1992,서울우유협동조합,식품,식품 기타,식품 기업공고,창립55주년기념,우유대장,연합광고
A2A00307.wma,1992,서울우유협동조합,식품,식품 기타,식품 기업공고,제4회창립대회,우유대장대행진,(주)MBC애드컴
A2A00308.wma,1992,(주)미원,식품,조미향신료,향신료 및 조리용술,미원후추,오늘음식은톡쏘는데,연합광고
A2A00309.wma,1992,(주)미원,식품,면류,봉지 인스턴트 면류,가정당면,장모님이해주신잡채,연합광고
A2A00310.wma,,대한제분(주),식품,농산품,가루식품,곰표부침가루,소리편,상암기획
A2A00322.wma,,(주)롯데햄,식품,축산품,기타 축산가공품,떡갈비,다지고다지고,(주)대홍기획
A2A00444.wma,1986,제일메주식품조합,식품,농산품,기타 농산가공품,개량메주,황록색이진품,
A2A00445.wma,1986,복표식품,식품,농산품,기타 농산가공품,개량메주,순콩으로만든메주,
A2A00446.wma,1985,한국인삼조합,식품,농산품,농산품 기타,고려인삼,한국이자랑하는고려인삼,
A2A00447.wma,1985,(주)롯데삼강,식품,아이스크림,카톤 및 훼미리,구구아이스크림,구구 새해잔치,
A2A00448.wma,1985,남양산업,식품,식품 기타,식품 기업공고,남양산업,사은품증정,
A2A00450.wma,1986,(주)비락,식품,식품 기타,식품 기업공고,비락우유,활동력있는주부사원모집,
A2A00451.wma,1986,(주)서광,식품,유제품,우유,서광우유,싱싱한자연,
A2A00452.wma,1985,서울우유협동조합,식품,유제품,우유,서울우유,사은할인판매,
A2A00453.wma,1985,서울우유협동조합,식품,유제품,우유,서울우유,서울우유버터할인판매,
A2A00454.wma,1985,한서식품,식품,식품 기타,식품 기업공고,세레락,세레락보너스대행진,
A2A00457.wma,1985,동서식품(주),식품,식품 기타,식품 기업공고,포스트,소비자사은잔치,
A2A00458.wma,1985,동서식품(주),식품,식품 기타,식품 기업공고,포스트사은잔치,맛과영양의포스트,
A2A00459.wma,1985,풍미식품,식품,제빵,"빵, 케익 및 떡",풍미찰떡,주는정받는기쁨,
A2A00460.wma,1986,해태제과식품(주)서울지점,식품,제과,껌,풍선껌,송알송알풍선껌,
A2A00461.wma,1986,해태제과식품(주)서울지점,식품,제과,비스켓 및 쿠키,프린팅비스,비스도먹고야구놀이도하고,
A2A00465.wma,1986,해태제과식품(주)서울지점,식품,제과,껌,로보트z껌,껌종이가판박이,
A2A00467.wma,1986,한서식품,식품,유제품,이유식,쎄레락,예쁜아기선물받아가세요,
A2A00468.wma,1986,영화식품,식품,수산품,젓갈 및 액젓,영화젓갈,주부님들의사랑을받고있는,
A2A00469.wma,1986,국일제면,식품,면류,봉지 인스턴트 면류,국일칡제면,맛좋고영양많은,
A2A00470.wma,1985,롯데제과(주),식품,아이스크림,콘,티나콘,티나콘뚜껑을열어보세요,
A2A00471.wma,1985,한서식품,식품,식품 기타,식품 기업공고,쎄레락,사은판매에초대합니다,
A2A00472.wma,1985,롯데제과(주),식품,아이스크림,콘,티나콘,세계의진기록을알아보세요,
A2A00474.wma,1985,매일유업(주),식품,유제품,분유,맘마,새로워진맘마,
A2A00475.wma,1985,남양유업(주),식품,유제품,분유,전지분유,돌고래튜브를드립니다,
A2A00476.wma,1985,롯데제과(주),식품,아이스크림,콘,티나콘,진기한기록들이들어있습니다,
A2A00477.wma,1985,동원산업(주),식품,수산품,수산통조림,살코기캔,선물하나마련했습니다,
A2A00478.wma,1985,동서식품(주),식품,대용식품,씨리얼,포스트가격인하,영양많은곡물로만든,
A2A00480.wma,1985,한서식품,식품,식품 기타,식품 기업공고,마일로양말증정,멋진스포츠양말을드립니다,
A2A00481.wma,1985,풍년식품공업(주),식품,농산품,기타 농산가공품,개량메주,발명특허품,
A2A00483.wma,1985,(주)롯데삼강,식품,아이스크림,카톤 및 훼미리,구구아이스크림,예쁜컵쟁반을드립니다,
A2A00485.wma,1986,한서식품,식품,식품 기타,식품 기업공고,마일로,사은대축제,
A2A00486.wma,1985,한서식품,식품,식품 기타,식품 기업공고,마일로,사은품증정,
A2A00487.wma,1986,(주)비락,식품,유제품,우유,비락우유,주부사원모집,
A2A00488.wma,1986,서울우유협동조합,식품,유제품,우유,서울우유,연장활인판매,
A2A00489.wma,1986,서울우유협동조합,식품,유제품,우유,서울우유,연장활인판매,
A2A00490.wma,1986,서울우유협동조합,식품,유제품,우유,서울우유,연장활인판매,
A2A00491.wma,1986,부농단백,식품,농산품,가루식품,엄마영양콩비지,일주일에한번쯤,
AHA01001.wma,,마주아치킨,식품,축산품,치킨가공품,마주아치킨,맛있는 양념통닭,
AHA01006.wma,,멕시칸물산(주),식품,축산품,치킨가공품,멕시칸 양념통닭,비밀을 찾아라,
AFA00054.wma,1995,신우유통,식품,유제품,우유,신우유통,다양한상품,
AH000092.wma,,테그아웃,식품,식품 기타,식품 기업PR,테그아웃,도시락전문,
radio2000_009.mp3,,남양유업(주),식품,유제품,분유,아기사랑수,24개월 먹이는,(주)서울광고
radio2000_012.mp3,,동원산업(주),식품,면류,봉지 인스턴트 면류,라우동,라면과 우동의 얼큰한 만남,(주)휘닉스커뮤니케이션즈
radio2000_014.mp3,,롯데제과(주),식품,제과,초코릿,젠느,내 안의 또 다른 나,
radio2000_015.mp3,,(주)빙그레,식품,아이스크림,스틱 및 바,빙그레 엔초,초코 아이스바,(주)한컴
radio2000_016.mp3,,삼호물산,식품,조미향신료,장류,옹가네고추장,맛있는 맛의 고집,네트워크
radio2000_017.mp3,,서울우유협동조합,식품,유제품,우유,아침에 우유,고 칼슘 우유,(주)제일기획
radio2000_019.mp3,,(주)오리온,식품,제과 ,비스켓 및 쿠키,초코칩쿠키,초코가 외로워 쿠키를 찾네,(주)제일기획
radio2000_020.mp3,,일동후디스(주),식품,유제품,분유,후디스아기밀 업그레이드,아기가 좋아해요,(주)유니기획
radio2000_021.mp3,,제일제당,식품,조미향신료,조미료,다시다,더욱 고소하고 깔끔해진 고향의 맛,(주)제일기획
radio2000_025.mp3,,하선정식품,식품,수산품,젓갈 및 액젓,하선정전용액젓,맛있는 김치 쉽게 담그는 법 찾아라,
radio2000_027.mp3,,해태제과식품(주)서울지점,식품,제과 ,비스켓 및 쿠키,맛동산,맛동산 없이는 파티도 없다,(주)코래드
A2000008.wma,1997,(주)한국야쿠르트,음료 및 기호식품,기호식품,커피 및 커피믹스,산타페,소문내고싶어요,(주)코마코
A2000009.wma,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,OB맥주,랄랄라1차,(주)오리콤
A2000010.wma,1997,(주)엘지생활건강,음료 및 기호식품,비알콜음료,기능성건강음료,마이빈,마이빈감나무집셋째딸CM-SONG,(주)엘지애드
A2000011.wma,,진로쿠어스,음료 및 기호식품,알콜음료,맥주,카스맥주,겨울에 마시는 맥주,(주)엘지애드
A2000012.wma,,서울우유협동조합,음료 및 기호식품,비알콜음료,기타 과실음료,아침에쥬스,아침엔 과일을 먹는다,(주)금강기획
A2000051.wma,,동서식품(주),음료 및 기호식품,기호식품,커피 및 커피믹스,동서캔커피,청춘편,(주)제일기획
A2000052.wma,,동아오츠카주식회사,음료 및 기호식품,비알콜음료,기능성건강음료,썬듀,태양이 준 선물,연합광고
A2000053.wma,,한국코카콜라보틀링,음료 및 기호식품,비알콜음료,비알콜음료 기타,암바사,사랑의 맛,(주)오리콤
A2000054.wma,,백화양조,음료 및 기호식품,알콜음료,청주,청하,비로소 술맛을 알았노라,(주)오리콤
A2000055.wma,1986,백화양조,음료 및 기호식품,알콜음료,청주,청하,데우지 않는 청주,(주)오리콤
A2000056.wma,1987,백화양조,음료 및 기호식품,알콜음료,청주,백화수복,민속의 날,(주)오리콤
A2000057.wma,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,OB맥주,쉬어가는 여유편,(주)오리콤
A2000058.wma,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,OB맥주,여름편,(주)오리콤
A2000059.wma,,오비맥주(주),음료 및 기호식품,알콜음료,맥주,버드와이저,버드와이저를 아십니까,(주)오리콤
A2000060.wma,,제일제당,음료 및 기호식품,비알콜음료,스포츠음료,게토레이,좋은 하루 맞으세요편,(주)제일기획
A2000061.wma,,제일제당,음료 및 기호식품,비알콜음료,스포츠음료,게토레이,힘찬 오후편,(주)제일기획
A2000063.wma,,(주)정식품,음료 및 기호식품,비알콜음료,비알콜음료 기타,우리안,이미지편,(주)제일기획
A2000064.wma,,풍원양조,음료 및 기호식품,알콜음료,소주,우정,새로운 술이 익어간다,(주)엘지애드
A2000081.wma,,미주산업,음료 및 기호식품,비알콜음료,기타 과실음료,MJC홈살구,신선한 살구,(주)오리콤
A2000083.wma,,김포생약주,음료 및 기호식품,알콜음료,탁주 및 전통주,김포생약주,좋은자리의 좋은 술,(주)오리콤
