연도,대분류(NCS),중분류(NCS),소분류(NCS),세분류(NCS),교육과정명
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털광고 마케팅 및 트렌드 이해
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,빅데이터와 디지털광고 사례분석
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,콘텐츠 마케팅
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,소셜미디어 마케팅
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,검색광고 마케팅
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털캠페인 기획
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털캠페인 기획 실습
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,퍼포먼스 미디어 운영 및 효과분석
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 효과 측정 실전
2020,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,디지털광고 및 캠페인 제작
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고마케팅 이해 및 전략
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고기획 사례연구 및 기획서 작성 클리닉
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,SNS 광고 운영전략
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,퍼포먼스 광고 KPI 달성 전략
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,캠페인 실전기획 및 PT
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,스마트광고 트렌드 리뷰
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,검색광고를 활용한 퍼포먼스 마케팅 관리
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,크리에이티브 사례분석과 창안
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 캠페인 전략 수립과 프로그래매틱바잉 실습
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜디드콘텐츠 기획
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 효과분석 실전
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜드커뮤니케이션 우수사례 분석 실무
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,마케팅커뮤니케이션 트렌드 이해
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜드 및 퍼포먼스 광고 포스트바이
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,카피라이팅 실습
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝의 이해
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고제작 실습
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,PR 우수사례 분석 및 기획실습
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,비주얼 콘텐츠 기획
2021,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,지상파 광고 운영
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고전략과 마케팅커뮤니케이션
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어와 미디어플래닝 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,마케팅커뮤니케이션 트렌드 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝 전략 실무
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,광고기획 사례연구 및 기획서 작성 클리닉
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,캠페인 실전기획 및 PT 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,브렌디드 콘텐츠 기획
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,비주얼 콘텐츠 기획
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜딩과 브랜드 커뮤니케이션 성공전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,크리에이티브 전략분석과 창안
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,카피라이팅 실습
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,소셜미디어 마케팅
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 마케팅과 미디어 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,스마트 광고 트랜드 리뷰
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,디지털 캠페인 기획
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 광고 효과분석
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,검색광고 퍼포먼스 마케팅
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜드 및 퍼포먼스 광고 KPI 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,빅데이터와 디지털 광고 전략
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,PR 기획 및 성공사례 분석
2022,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,PR 전략과 위기관리
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,마케팅 커뮤니케이션 A to Z
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,디지털 마케팅 A to Z
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,마케팅 커뮤니케이션 실무(광고기획 A to Z)
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,브랜디드 콘텐츠의 성공전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,스마트 광고 인사이트 리뷰
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어 플래닝 A to Z
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,비주얼 콘텐츠 제작과 아이디어
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,구글 애널리틱스(GA) 시작하기
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,구글 애널리틱스(GA) 데이터 분석
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,구글 애널리틱스(GA)를 활용한 마케팅 전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,캠페인 브리프 작성 실전 노하우
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,마케터를 위한 소셜미디어 전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,브랜딩과 브랜드 커뮤니케이션 성공전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,디지털 광고를 위한 빅데이터 활용 전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,미디어플래닝 전략실무
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,마케팅 기획서 & PT 클리닉
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,02. 문화콘텐츠제작,04. 광고콘텐츠제작,카피라이팅 실전 전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,브랜드 및 퍼포먼스 광고 KPI 전략
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,캠페인 광고 기획과 실전 PT
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,디지털 광고 효과분석
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,09. 스마트문화앱콘텐츠유통·서비스,라이브 커머스 기획과 성공요소
2023,08. 문화·예술·디자인·방송,03. 문화콘텐츠,03. 문화콘텐츠유통·서비스,04. 광고콘텐츠유통·서비스,검색광고와 퍼포먼스 마케팅
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,광고 미디어의 이해
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,사례를 통해 이해하는 광고와 마케팅의 Insight 발견
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,광고기획 시작을 위한 마케팅 커뮤니케이션과 기획의 이해
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,매체별 효과분석에 기반한 미디어 플래닝
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,브랜딩과 브랜드 커뮤니케이션 성공전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,캠페인 브리프 작성 실전 노하우
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,미디어 플래닝 기획서 작성 및 실전 노하우
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,마케팅 기획서 & PT 클리닉
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,캠페인 광고 기획과 실전 PT
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,홍보콘텐츠의 발상과 아이디어
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,홍보콘텐츠의 카피라이팅 제작
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,브랜디드 콘텐츠의 성공전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,홍보콘텐츠의 통합 크리에이티브 연구
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,SNS 브랜디드 콘텐츠의 크리에이티브
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,생성형 AI를 이용한 홍보콘텐츠의 실전 제작
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,유튜브 브랜디드 콘텐츠 실전 제작
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,02.문화콘텐츠제작,04.광고콘텐츠제작,카피라이팅 실전 전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,디지털 마케팅 A to Z
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,매출과 광고 효율 극대화를 위한 미디어커머스 시장의 이해
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,구글애널리틱스(GA) 4.0 시작하기
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,구글애널리틱스(GA) 4.0 데이터 분석
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,디지털 광고를 위한 빅데이터 활용 전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,"디지털 광고, GA4 활용으로 추적·분석·리포트까지"
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,09.스마트문화앱콘텐츠유통·서비스,구글애널리틱스(GA) 4.0을 활용한 마케팅 전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,브랜드 및 퍼포먼스 광고 KPI 전략
2024,08.문화·예술·디자인·방송,03.문화콘텐츠,03.문화콘텐츠유통·서비스,04.광고콘텐츠유통·서비스,디지털 광고 효과 분석
