연구보고서,저자,발행년도
간접광고 도입 등에 따른 협찬제도의 효과적 규제방안 연구 ,노동렬,2013
간접 및 가상광고 규제개선 및 활성화 방안 연구 ,변상규,2013
스마트미디어 광고 선정성에 관한 연구 ,김민기,2013
광고산업 경쟁상황 평가를 위한 선행연구 ,오세성,2013
N스크린 시대 규제 개선을 통한 방송광고시장 활성화 방안 연구 ,정두남,2013
스마트 미디어 시대의 광고 효과 측정 표준화 현황 및 과제에 관한 연구,김수욱,2013
동반성장을 위한 중소광고주 및 중소광고회사의 발전 방안 연구 ,박원기,2013
미디어 융합시대 광고 전문인력 양성을 위한 교육 프로그램 개발,오세성,2013
스마트 BPL 비즈니스 모델 연구,정두남/박종구,2013
스마트미디어 시대 공익광고 활성화를 위한 제도 개선 방안 연구 ,장우성,2013
2014 소비자 행태조사 보고서,한국방송광고진흥공사,2014
2014 방송통신광고비 조사,한국방송광고진흥공사,2014
스마트미디어 환경에서 신유형광고의 단가체계 표준화방안 연구,장우성,2014
통합시청률에 대한 시장반응 및 지상파 광고시장 활성화를 위한 활용방안 연구,오세성,2014
기술규제 완화에 따른 방송시장 파급효과에 관한 연구,정두남,2014
N스크린 환경에서의 미디어렙 판매대행 범위 확대방안 연구,한은경,2014
스마트광고 생태계 조성방안 연구,박종구,2014
국가간 FTA협약이 방송광고시장에 미치는 영향 및 대응방안 연구,정두남,2014
간접광고(PPL)의 효과측정모델 개발 연구,장우성,2014
스마트시대에 대응한 방송광고 분류체계 개선방안 연구,강준석,2015
KOBAnet/KODEX 성과분석에 대한 연구,변종봉,2015
지상파방송의 광고매체 가치분석 연구,박원기,2015
라디오 광고시장 활성화 방안 연구,오세성,2015
방송광고 온라인 경매시스템 도입 방안 연구,장우성,2015
2015 방송통신광고비 조사,한국방송광고진흥공사,2015
2015 소비자 행태조사 보고서,한국방송광고진흥공사,2015
방송개념 재정의를 통한 규제체계 개선방향에 관한 연구,정두남,2016
방송광고진흥 사업의 산업연관효과 분석연구,오세성,2015
광고산업 인적 인프라 강화를 위한 숙련단계별 교육방안 연구,장우성,2015
광고진흥사업의 기금사업 전환에 따른 마스터 플랜 도출 연구,오세성,2015
빅데이터 시스템을 이용한 방송광고산업 경쟁력 제고 방안 연구,박원기,2016
지상파TV광고의 Up-Sales를 위한 전략적 마케팅 방안 개발 연구,오세성,2016
미디어렙 판매대행영역 확대방안 연구,정두남,2016
방송통신융합시대 신유형광고 법제 정비 방안 연구,박종구,2016
매체집행 패턴이 광고효과에 미치는 영향 분석 연구,장우성,2016
규제개선을 통한 광고시장 활성화 방안 연구,이희복,2016
문화콘텐츠 산업이 광고시장에 미치는 영향 분석 연구,전종우,2016
2016 방송통신광고비 조사,한국방송광고진흥공사,2016
2016 소비자 행태조사 보고서,한국방송광고진흥공사,2016
"모바일, SNS, MCN 미디어시대에 지상파TV 광고전략 방안 연구",오세성,2016
방송 개념 재정의를 통한 규제체계 개선 방안 연구,정두남,2016
광고산업 공익패널 구축방안 연구,박종구,2016
콘텐츠 가치평가 tool 개발 연구,장우성,2016
청소년 진로교육 확대에 따른 광고교육원 교육방향 연구,박원기,2017
여론 다양성 규제의 패러다임 변화,정두남,2017
공사 중소기업 지원제도 운영성과 분석 및 추가 지원모델 개발 연구,오세성,2017
2017 방송통신광고비 조사 보고서,한국방송광고진흥공사,2017
2017 소비자 행태조사 보고서,한국방송광고진흥공사,2017
MCN 브랜디드 콘텐츠의 광고효과 분석,최세정,2017
워터마크 등 액티브 방식을 활용한 N스크린조사 추진 방안 연구,김원겸,2017
우리나라와 주요국의 미디어이용조사 현황에 대한 비교 연구,오세성,2017
여론 다양성 규제의 패러다임 변화 연구 - 독일 사례를 중심으로Ⅱ,정두남,2017
AI의 등장이 미디어산업에 미치는 영향에 관한 탐색적 연구,정두남,2017
광고업계 활용도 제고를 위한 MCR 조사설계 개선 방안에 대한 연구,오세성,2018
공익광고제도의 국제협력 강화 방안 연구,이태준,2018
2018 방송통신광고비 조사 보고서,한국방송광고진흥공사,2018
2018 소비자 행태조사 보고서,한국방송광고진흥공사,2018
남북교류 확대 대비 광고산업 활성화 방안 연구,박원기,2018
공영미디어렙의 사업영역 확대 및 통신광고 영역에서 공적 역할 확대 방안 연구,정두남,2018
KODEX 전송료 산출기준 재산정에 관한 연구,박근수,2018
미디어공공데이터 플랫폼 구축방안 연구 - 싱가포르 국영방송 디지털광고플랫폼 구축사례를 중심으로 -,임정택,2018
KAI자료의 활용성 제고를 위한 추가지표 산출방안에 대한 연구,오세성,2018
융합환경 대응을 위한 방송통신발전기금제도 개선 방안 연구,정두남,2018
정부광고주 서비스 개선 및 광고효과 개선 방안 연구(정부광고 분리대행에 대한 법·제도적 검토),이종관,2018
방송광고 수수료 제도 개선 방안 연구,이수범,2018
방송콘텐츠 가치정보분석시스템(RACOI) 조사범위 확대를 통한 가치제고방안 연구,강신규,2019
TV와 디지털 미디어의 광고효과 상관성 연구,권예지,2019
미디어광고 공공데이터의 사회적 가치 제고방안 연구,박종구,2019
융합환경 대응을 위한 방송통신발전기금 제도 개선방안 연구,정두남,2019
중소기업 혁신성장을 위한 광고마케팅 지원사업 활성화 방안,강신규,2019
디지털 미디어 시대의 광고마케팅 전략 연구,권예지,2019
MCR 지표개발 연구,박종구,2019
국내외 OTT서비스 시장 현황 및 규제정책 연구,정두남,2019
광고산업 발전을 위한 진흥방안 연구,"박종구,강신규,권예지",2020
신규기금 확보를 위한 정부 기금사업 현황연구,강신규,2020
디지털 공영 방송콘텐츠 아카이브 구축을 위한 현황연구,강신규,2020
광고산업 활성화를 위한 방송통신 광고정책 거버넌스 개선방안,정두남,2020
MMCR 활용방안,박종구,2020
유튜브 콘텐츠의 세대별 광고효과,권예지,2020
국정홍보 기능의 역할과 과제,권예지,2020
"미디어테이터 인,검증 업무 수행을 위한 방안 모색",성윤택,2020
어드레서블 TV광고 상품개발,박종구,2020
중소기업 신규지원사업 발굴을 위한 수요조사,강신규,2020
크로스미디어렙 및 공영렙 활성화 방안,박지연,2020
광고산업의 지속성장을 위한 건전성 확보방안 연구,김병희,2020
미디어산업분야 데이터 기술 활용방안 연구,"박종구, 강신규, 권예지",2020
공공 커뮤니케이션 활성화 방안,권예지,2021
광고산업의 포용적 성장을 위한 육성방안 연구,박종구,2021
미디어산업 진흥 방안,성윤택,2021
지속가능한 발전을 위한 광고이용자 권익 향상 방안,권예지,2021
미디어·광고 혁신성장을 위한 신유형광고 진흥방안,"강신규, 이해수",2021
중소광고산업 육성방안 연구,"양승광, 임풀잎",2021
글로벌 경쟁시대 국내 광고산업 영토 확장방안,"강신규, 노창희, 이경미",2022
매체 환경 변화에 따른 라디오 산업 활성화 방안,"변혜민, 김기민, 오준혁",2022
빅데이터 토픽모델링 기법을 활용한 새 정부 미디어광고산업 진흥정책 추진과제,"박종구, 이창로, 이해수",2022
K-OTT 플랫폼의 해외시장 진출 활성화 방안 연구,"김도경, 백현미, 박지은, 고채은",2022
디지털 트랜스포메이션 시대 광고의 새로운 영역 검토 방안,"권예지, 이희준, 이혜선, 장시연",2022
글로벌 OTT가 국내광고시장의 미치는 영향,"이시훈, 변상규, 노창희, 강신규",2022
광고시장 신뢰도 제고를 위한 브랜드 세이프티 강화 방안,송영아,2023
광고-미디어 환경 변화 대응을 위한 간접.가상광고 확장 가능성 연구,변혜민,2023
Addressable TV광고효과 측정방법론 연구,박종구,2023
"광고 일상화 시대,광고 리터러시 교육 발전방안연구",권예지,2023
"AI 시대, 광고산업 발전 방안: 광고 주요 프로세스에서 AI의 활용과 미래 대응",변혜민,2024
글로벌 경쟁 시대 TV 생존전략 방안 연구,권예지,2024
디지털 광고산업의 지속 성장을 위한 공적역할 강화방안 연구,천혜선,2024
광고주 대상 광고 집행 조사,메트릭스,2024
