번호,년도,매체구분,매체,대분류,중분류,소분류,광고주,제품,내용
중앙광고대상0125,1978,신문,중앙일보,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,상아제약,포피,건강한 치아는 오복의 하나
조선광고대상0242,1979,신문,조선일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,보령제약(주),겔포스,주머니속의 동반자
조선광고대상0249,1979,신문,조선일보,제약 및 의료,소화위장약,소화제,동아제약(주),베스타제,체증이 확 뚫립니다
조선광고대상0252,1979,신문,조선일보,제약 및 의료,대사성의약,대사성의약 제품종합,(주)종근당,노나비타,영양의 노른자
ildong-BB02,1979,신문,기타신문,제약 및 의료,대사성의약,정장제,일동제약(주) ,비오비타,장을 튼튼히 해주는 것은 더욱 중요합니다
조선광고대상0262,1980,신문,조선일보,제약 및 의료,소화위장약,소화제,(주)한독약품,훼스탈,예나 지금이나 제구실을 다 합니다
조선광고대상0269,1980,신문,조선일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,바이팍스,이 작은 한알이
조선광고대상0271,1980,신문,조선일보,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,동아제약(주),나이후랑,비오는 날에도 신경통을 모르고 지냅니다
중앙광고대상0146,1980,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)종근당,노나비타,하루18시간의 수험생피로
ildong-M07,1980,신문,기타신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,암포젤엠,세계 137개국에서 사용되고 있는 정통위장약
조선광고대상0276,1981,신문,조선일보,제약 및 의료,근육 및 신경통제,근육통제,대일화학공업(주),대일파스,15분 효과 기록수립
조선광고대상0291,1981,신문,조선일보,제약 및 의료,두피 및 피부용제,무좀치료제,한국쉐링(주),트라보겐,"몰랐던 고통,알고난 쾌감"
중앙광고대상0158,1981,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,우루사,우루사도 바캉스를 갑니다
중앙광고대상0159,1981,신문,중앙일보,제약 및 의료,대사성의약,간장치료제,동아제약(주),타치온,오늘 하루쯤 축 쉬었으면
중앙광고대상0166,1981,신문,중앙일보,제약 및 의료,대사성의약,간장치료제,동아제약(주),타치온,용왕님도 살리고 토끼도 살고
중앙광고대상0169,1981,신문,중앙일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,보령제약(주),겔포스,정량을 정시에 복용하십시요
조선광고대상0301,1982,신문,조선일보,제약 및 의료,소화위장약,변비치료제,영진약품공업(주),판크레몬-에프,10분만의 쾌감
조선광고대상0312,1982,신문,조선일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,영진약품공업(주),판크레몬-에프,나를듯이 가벼워진 위와 장
조선광고대상0313,1982,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,부광약품공업(주),브렌닥스,악어새여 안녕
조선광고대상0314,1982,신문,조선일보,제약 및 의료,진통제 및 안정제,해열 및 진통제,바이엘코리아(주),아스피린,정상 체온까지 아스피린이 책임집니다
중앙광고대상0180,1982,신문,중앙일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)중외제약,듀스파타린,그럼 술을 안마시면 되지 않습니까
중앙광고대상0181,1982,신문,중앙일보,제약 및 의료,대사성의약,대사성의약 제품종합,(주)유한양행,게브랄티,"건강1위,타격1위"
중앙광고대상0190,1982,신문,중앙일보,제약 및 의료,대사성의약,칼슘제제,부광약품공업(주),훼로바,3주일후면 당신의 혈색이 달라집니다
중앙광고대상0192,1982,신문,중앙일보,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,(주)종근당,낙센,비오는 날도 두렵지 않읍니다
ildong-038,1982,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,"마음은 청년, 몸은 중년"
ildong-039,1982,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,흔들리는 중년건강
ildong-040,1982,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,인생정상
yuhan-041,1982,신문,기타신문,제약 및 의료,"백신, 구충 및 살충제",구충제,(주)유한양행,버막스,광범위 구충제
yuhan-060,1982,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,(주)유한양행,게브랄티,1982년 7월부터 국내 영양제의 차원이 달라집니다
유한양행2차-048,1983,신문,한국일보,제약 및 의료,감기약,종합감기약,동아제약(주),하노백,마음이 절면 몸도 청춘
조선광고대상0323,1983,신문,조선일보,제약 및 의료,대사성의약,대사성의약 제품종합,일양약품(주),힌스텐,"산소가 필요한곳,린스텐이 필요한곳"
조선광고대상0324,1983,신문,조선일보,제약 및 의료,대사성의약,간장치료제,한일약품공업(주),프로헤파룸,보가 가위도 이겼읍니다
조선광고대상0338,1983,신문,조선일보,제약 및 의료,진통제 및 안정제,해열 및 진통제,한미약품공업(주),써스펜좌약,간편한 희소식
중앙광고대상0204,1983,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,우루사,우리는 십년지기
중앙광고대상0205,1983,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)유한양행,그랑페롤,50청년이 있는가 하면 30노인이 있읍니다
중앙광고대상0212,1983,신문,중앙일보,제약 및 의료,대사성의약,자양강장제,일양약품(주),원비원,알찹니다
중앙광고대상0213,1983,신문,중앙일보,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,부광약품공업(주),브렌닥스 치약,오복중에 한가지 복을 드립니다
중앙광고대상0215,1983,신문,중앙일보,제약 및 의료,의료용품,간이치료용품,상아제약,제놀,이 놀라운 효과
중앙광고대상0216,1983,신문,중앙일보,제약 및 의료,"이비인후, 치과 및 안과용제","이비인후, 치과 및 안과용제 제품종합",부광약품공업(주),브렌닥스 치약,유능한 신입사원 미스터 브렌닥스
ildong-041,1983,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,활력중년
ildong-042,1983,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,가족건강을 생각한다면 아로나민골드를 찾아주십시오
조선광고대상0347,1984,신문,조선일보,제약 및 의료,"백신, 구충 및 살충제",구충제,(주)종근당,옥산콤,단 한번에 낚아 채십시오
조선광고대상0355,1984,신문,조선일보,제약 및 의료,대사성의약,칼슘제제,(주)중외제약,훼럼,엄마 훼럼드실 시간이예요
조선광고대상0367,1984,신문,조선일보,제약 및 의료,대사성의약,대사성의약 제품종합,(주)유한양행,그랑페롤,건강이 곧 재산입니다
중앙광고대상0225,1984,신문,중앙일보,제약 및 의료,소화위장약,변비치료제,(주)중외제약,듀스파타린,"스트레스만 받았다 하면 변비,설사가 생기는 분"
중앙광고대상0226,1984,신문,중앙일보,제약 및 의료,대사성의약,대사성의약 제품종합,고려은단(주),은단,해독작용을 하는 감초
donga-0019,1984,신문,동아일보,제약 및 의료,소화위장약,소화위장약 제품종합,(주)중외제약,듀스파타린정,이러구 있을때가 아닌데…
donga-0020,1984,신문,동아일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)대웅제약,기업PR,곰이야기
donga-0023,1984,신문,동아일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,우루사,몸에 좋다고 곰을 통째로 들고 다닐수야 없죠
donga-0024,1984,신문,동아일보,제약 및 의료,진통제 및 안정제,해열 및 진통제,바이엘코리아(주),바이엘아스피린,열이 열을 일으킵니다. 열이 두통을 부릅니다
donga-0027,1984,신문,동아일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,우루사,작지만 큽니다
donga-0028,1984,신문,동아일보,제약 및 의료,소화위장약,소화위장약 제품종합,(주)중외제약,듀스파타린정,왜 스트레스가 과민성 대장증상을 일으키는가
ildong-043,1984,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,오늘도 건강하게
LG-AD-3453,1984,신문,동아일보,제약 및 의료,대사성의약,간장치료제,럭키,에취비박스,간염백신 접종후 항체를 확인하셨읍니까
조선광고대상0377,1985,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,안국약품(주),토비콤,똑똑히 더 잘 보입니다
중앙광고대상0239,1985,신문,중앙일보,제약 및 의료,"백신, 구충 및 살충제",예방백신,(주)녹십자,헤파박스,아기는 엄마의 팔베개가 그리워
중앙광고대상0244,1985,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)중외제약,아루사루민,쓰리고 아픈 위장병
중앙광고대상0250,1985,신문,중앙일보,제약 및 의료,두피 및 피부용제,무좀치료제,바이엘코리아(주),카네스텐,"무좀,뿌리채 뽑아 버릴수 있다면"
중앙일보-0158,1985,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)중외제약,아루사루민,쓰리고 아픈 위장병 복합아루사루민을
중앙일보-0186,1985,신문,중앙일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)녹십자,광복40주년,6.25의 폐허위에 기적을 이룬 한국 경제 40년
중앙일보-0209,1985,신문,중앙일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)녹십자,향토문화를 찾아서,하회별신
중앙일보-0216,1985,신문,중앙일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)녹십자,향토문화를 찾아서,농악십이차
조선광고대상0416,1986,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,동아제약(주),가그린,왜 나를 피하시죠
조선광고대상0419,1986,신문,조선일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,바이엘코리아(주),탈시드,돌절구도 밑 빠질날 있다
조선광고대상0421,1986,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,동아제약(주),가그린,"나는 개운하고,당신은 행기롭고"
조선광고대상0422,1986,신문,조선일보,제약 및 의료,소화위장약,소화제,(주)한독약품,훼스탈,스피드 시대에 알맞은 스피드 소화제
조선광고대상0427,1986,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제","이비인후, 치과 및 안과용제 제품종합",경남제약(주),미놀,목이 답답하다구요
중앙광고대상0264,1986,신문,중앙일보,제약 및 의료,소화위장약,소화제,동아제약(주),비오자임,왜 소화제의 선택이 달라지고 있는가
중앙광고대상0278,1986,신문,중앙일보,제약 및 의료,대사성의약,비타민C제,한국스터링제약,씨씨정,"고운피부,피로회복,감기예방 비타민C제제"
donga-0298,1986,신문,동아일보,제약 및 의료,소화위장약,소화제,동아제약(주),비오자임,왜 소화제의 선택이 달라지고 있는가
donga-0307,1986,신문,동아일보,제약 및 의료,대사성의약,비타민C제,한국스터링제약,씨씨,정말 예쁜 얼굴을 원하세요
ildong-Q01,1986,신문,전북일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,새벽4시 위통(1)
ildong-Q02,1986,신문,스포츠서울,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,새벽4시 위통(2)
LG-AD-1289,1986,신문,기타신문,제약 및 의료,"백신, 구충 및 살충제",살충 및 방충제,럭키,"모그졸,바크졸","모기하면 모그졸,바퀴하면 바크졸"
LG-AD-1989,1986,잡지,여성동아,제약 및 의료,"백신, 구충 및 살충제",살충 및 방충제,럭키,바크졸,바크졸이 선택되는 이유
조선광고대상0432,1987,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,일성신약(주),캐시딘,당신의 눈은 몇 살입니까
조선광고대상0453,1987,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,일성신약(주),캐시딘,"보입니다,"
중앙광고대상0287,1987,신문,중앙일보,제약 및 의료,생리피임 및 치질용약,피임약,한미약품공업(주),노원,"사랑한다면,피임하십시오"
중앙광고대상0288,1987,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,삼진제약(주),마리놀,어촌사람들이 장수하는 비결
중앙광고대상0289,1987,신문,중앙일보,제약 및 의료,소화위장약,변비치료제,부광약품공업(주),아락실,노인변비
중앙광고대상0294,1987,신문,중앙일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)한독약품,알타캡,클레오파트라를 만나던 날
중앙일보-0164,1987,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,삼진제약(주),마리놀,에스키모들이 장수하는 비결을 아십니까
donga-0035,1987,신문,동아일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,우루사,흔들리는 출근
donga-0075,1987,신문,동아일보,제약 및 의료,소화위장약,소화제,(주)한독약품,훼스탈포르테정,할머니손은 약손
ildong-M08,1987,신문,동아일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,암포젤엠,1회용 암포젤엠
ildong-M09,1987,신문,동아일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,암포젤엠,1회용 암포젤엠
LG-AD-1737,1987,잡지,여학생,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,럭키,럭키 에티켓,입안을 상쾌하게
LG-AD-1743,1987,잡지,주니어,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,국제콘택트렌즈,국제콘택트렌즈,시원하게 잘 보인다
LG-AD-1980,1987,잡지,주부생활,제약 및 의료,대사성의약,"유,아동용 영양제",신일제약공업(주),트레스,나도 이만큼 크고 싶어요
LG-AD-2239,1987,잡지,여성동아,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,럭키,에티켓,입냄새를 제거하세요
LG-AD-2266,1987,잡지,여성중앙,제약 및 의료,"백신, 구충 및 살충제",살충 및 방충제,럭키,모그졸.매트,아기방 모기대책
일동제약-185,1988,신문,한국경제신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,공복시 위통
조선광고대상0463,1988,신문,조선일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,보령제약(주),겔포스,위장의 안전운행수칙
조선광고대상0465,1988,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제",안과용제,일성신약(주),캐시딘,아범아그러다 신문속으로 들어가겠다
조선광고대상0487,1988,신문,조선일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민골드,누워지내는 일요일이 빵점아빠를 만듭니다
조선광고대상0489,1988,신문,조선일보,제약 및 의료,진통제 및 안정제,신경안정제,명문제약,키미테,차를 타고 여행을 갔다
중앙광고대상0308,1988,신문,중앙일보,제약 및 의료,대사성의약,"유,아동용 영양제",동아제약(주),미니막스,신나게 놀아도 지치지 않아요
중앙광고대상0315,1988,신문,중앙일보,제약 및 의료,소화위장약,소화제,(주)한독약품,훼스탈,할머니손은 약손
중앙광고대상0316,1988,신문,중앙일보,제약 및 의료,대사성의약,간장치료제,(주)대웅제약,대웅제약,흔들리는 출근
중앙광고대상0321,1988,신문,중앙일보,제약 및 의료,생리피임 및 치질용약,피임약,한화제약,마베론,왜 네덜란드에서 개발한 피임약이 유명한가
중앙일보-0187,1988,신문,중앙일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)대웅제약,88서울올림픽,88서울 올림픽-한민족 모두의 것입니다
중앙일보-0219,1988,신문,중앙일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,(주)대웅제약,현충일,그들아 헌쥼 흙이되어 평화와 -가 이땅에 뿌리
ildong-044,1988,신문,매일경제신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,상쾌한 아침입니까
ildong-Q03,1988,신문,한국경제신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,공복시 위통
ildong-Q04,1988,신문,중앙일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,위궤양치료
유한양행2차-028,1989,신문,한국일보,제약 및 의료,대사성의약,자양강장제,동아제약(주),로얄디,"청춘의 로얄디, 박력인생 로얄디"
유한양행2차-033,1989,잡지,약사공론,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)대웅제약,대웅천,최다성분의 마시는 위장보약
유한양행2차-034,1989,잡지,약사공론,제약 및 의료,소화위장약,십이지장 및 위궤양제,한일약품공업(주),셀벡스,"위염,위궤양 치료에 새로운 길을 열었습니다"
유한양행2차-052,1989,신문,한국일보,제약 및 의료,대사성의약,성인종합영양제,(주)대웅제약,토롤천,"착각하지 말아요, 당신이 무슨 청춘이라고"
유한양행2차-103,1989,신문,한국일보,제약 및 의료,감기약,종합감기약,한일약품공업(주),화이투벤,여보 나 감기 걸렸어요
유한양행2차-147,1989,신문,한국일보,제약 및 의료,대사성의약,비타민C제,보령제약(주),아데나씨,아- 아네다씨 기억해 두십시오
유한양행2차-149,1989,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,(주)종근당,인코라민,피로를 풀겠습니다
유한양행2차-150,1989,신문,동아일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민골드,쉬고나면 피로가 풀립니까 쉬어도 피로가 남습니까
일동제약-142,1989,신문,한겨례신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민골드,좋았어 아로나민골드
일동제약-186,1989,신문,한국경제신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,"바쁜하루, 불규칙한 식사, 쓰리고 아픈 속"
일동제약-187,1989,신문,한국일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,위궤양치료
조선광고대상0508,1989,신문,조선일보,제약 및 의료,"이비인후, 치과 및 안과용제","이비인후, 치과 및 안과용제 제품종합",(주)중외제약,스로딩,새댁은 음악광
중앙광고대상0332,1989,신문,중앙일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민골드,출근길이 밀립니까피로가 밀려옵니까
중앙광고대상0336,1989,신문,중앙일보,제약 및 의료,대사성의약,간장치료제,(주)유한양행,리카바,"내몸이 천냥이면,간장은 구백냥"
중앙광고대상0356,1989,신문,중앙일보,제약 및 의료,대사성의약,"유,아동용 영양제",(주)종근당,비막톤-f,엄마튼튼하게 키워주셔서 고맙습니다
donga-0115,1989,신문,동아일보,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,일양약품(주),원방우황청심원,일양약품의 기업정신을 담았습니다
donga-0138,1989,신문,동아일보,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,(주)유한양행,우황청심원,사상의학의 창시자 이제마
ildong-045,1989,신문,서울신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,피로가 풀리면 상쾌한 하루
ildong-Q05,1989,신문,한국경제신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,"바쁜하루, 불규칙한 식사, 쓰리고 아픈속"
ildong-Q06,1989,신문,기타신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,새벽4시 위통(3)
KAA1990 (149),1989,신문,기타신문,제약 및 의료,생리피임 및 치질용약,생리피임 및 치질용약 제품종합,유한사이나미트,마터나,365일-임산에서 수유까지
KAA1990 (15),1989,신문,기타신문,제약 및 의료,대사성의약,비타민C제,한미약품공업(주),이 오일,당신의 피부나이-유지인
KAA1990 (160),1989,신문,기타신문,제약 및 의료,감기약,종합감기약,고려제약(주),하벤,약사님 나 감기인가봐요
KAA1990 (194),1989,신문,기타신문,제약 및 의료,소화위장약,변비치료제,부광약품공업(주),아락실,화장실-시계편/화장편
KAA1990 (196),1989,신문,기타신문,제약 및 의료,"이비인후, 치과 및 안과용제",비염치료제,(주)중외제약,스로딩-온 국민이 잠자리에 들 시간,스로딩-온 국민이 잠자리에 들 시간
KAA1990 (201),1989,신문,기타신문,제약 및 의료,소화위장약,소화제,영진약품공업(주),생약소화제 판,거북한 속을 편하게
KAA1990 (21),1989,신문,기타신문,제약 및 의료,두피 및 피부용제,피부연고제,국제약품공업(주),챕스틱,나의 겨울 파트너
KAA1990 (214),1989,신문,기타신문,제약 및 의료,생리피임 및 치질용약,세정제,영진약품공업(주),지노덱스,지노덱스-여인의선택이 바뀐다
KAA1990 (246),1989,신문,기타신문,제약 및 의료,생리피임 및 치질용약,피임약,한미약품공업(주),노원,사랑과 건강을 위한 작은 준비
KAA1990 (258),1989,신문,기타신문,제약 및 의료,소화위장약,소화제,태광사노피제약,포실란,젤리형 위장약
KAA1990 (261),1989,신문,기타신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,태광사노피제약,포실란,위장보호
KAA1990 (80),1989,신문,기타신문,제약 및 의료,두피 및 피부용제,발모제,(주)녹십자,따빠오,아직 죽지 않았다
KAA1990 (88),1989,신문,기타신문,제약 및 의료,"이비인후, 치과 및 안과용제",렌즈세척제,(주)중외제약,샤린느,콘텍트렌즈의 단백질 제거
KAA1990 (96),1989,신문,기타신문,제약 및 의료,소화위장약,변비치료제,현대약품(주),마이녹실,자화상이 달라집니다
LG-AD-1800,1989,잡지,하이틴,제약 및 의료,"이비인후, 치과 및 안과용제",구내염용제,럭키,페리오,럭키 페리오 치솔 퀴즈 대잔치
yuhan-007,1989,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,(주)유한양행,삐콤씨,한알마다 담긴 62년 유한정신
yuhan-040,1989,신문,기타신문,제약 및 의료,두피 및 피부용제,무좀치료제,(주)유한양행,로맥신,1989년 무좀치료 - 로맥신으로 결정했습니다
유한양행2차-110,1990,신문,기타신문,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,광동제약(주),우황청심원,밝혀진 진실
유한양행2차-111,1990,신문,기타신문,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,일양약품(주),우황청심원,기업정신을 담았습니다
유한양행2차-113,1990,신문,기타신문,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,조선무약(자),솔표 우황청심원,솔표 우황청심원은 게속 수출하고 있습니다
일동제약-188,1990,신문,한겨레신문,제약 및 의료,소화위장약,십이지장 및 위궤양제,일동제약(주) ,큐란,위궤양 때문에 정말 고생했습니다
조선광고대상0526,1990,신문,조선일보,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,(주)유한양행,우황청심원,부끄러운 금메달은 몇 개나 가져왔습니까
조선광고대상0555,1990,신문,조선일보,제약 및 의료,두피 및 피부용제,무좀치료제,신신제약(주),토오졸,당황한 무용수
중앙광고대상0360,1990,신문,중앙일보,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,일양약품(주),우황청심원,기업정신을 담았습니다
중앙광고대상0370,1990,신문,중앙일보,제약 및 의료,대사성의약,비타민C제,보령제약(주),아데나씨,피로도 저축하십니까
중앙광고대상0373,1990,신문,중앙일보,제약 및 의료,소화위장약,소화제,(주)대웅제약,베아제,쯧쯧쯧 보고도 못먹는 모습이라니
중앙광고대상0383,1990,신문,중앙일보,제약 및 의료,진통제 및 안정제,진통제 및 안정제 제품종합,(주)유한양행,우황청심원,이제마
donga-0152,1990,신문,동아일보,제약 및 의료,소화위장약,십이지장 및 위궤양제,(주)대웅제약,미란타,위장약은…
ildong-046,1990,신문,한국일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,피로가 쌓이는 탓일까
ildong-047,1990,신문,한겨레신문,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,요즘 정말 피곤하시죠
ildong-048,1990,신문,국민일보,제약 및 의료,대사성의약,성인종합영양제,일동제약(주) ,아로나민,피로를 이기자
ildong-BB07,1990,신문,기타신문,제약 및 의료,대사성의약,정장제,일동제약(주) ,비오비타,햇살처럼 밝게 자라거라
ildong-BB08,1990,신문,경향일보,제약 및 의료,대사성의약,정장제,일동제약(주) ,비오비타,세아기
LG-AD-2079,1990,신문,한국일보,제약 및 의료,제약 및 의료 기타,제약 및 의료 기업PR,럭키제약,기업PR,첨담제약기술을 이제 생활속에서
LG-AD-2847,1990,신문,조선일보,제약 및 의료,대사성의약,대사성의약 제품종합,럭키제약,진생맥스,"건강정상,사랑도정상,인생도정상"
LG-AD-2848,1990,신문,한국경제,제약 및 의료,대사성의약,대사성의약 제품종합,럭키제약,진생맥스,황금들녘 풍요의 기쁨
yuhan-006,1990,신문,기타신문,제약 및 의료,대사성의약,성인종합영양제,(주)유한양행,삐콤씨,삐콤씨로 생활에 활력과 의욕을 되찾으십시오
유한양행2차-011,1991,신문,한계례신문,제약 및 의료,대사성의약,자양강장제,일양약품(주),영비천 선물세트,연말은 검소하게 선물은 실속있게
유한양행2차-014,1991,신문,조선일보,제약 및 의료,대사성의약,자양강장제,동아제약(주),한삼디,"패기를 마신다,한국인삼을 마신다"
유한양행2차-015,1991,신문,조선일보,제약 및 의료,대사성의약,자양강장제,광동제약(주),운지천 에프,"무설탕,무카페인"
유한양행2차-016,1991,신문,동아일보,제약 및 의료,대사성의약,자양강장제,동아제약(주),한삼디,"패기를 마신다,한국인삼을 마신다"
유한양행2차-018,1991,신문,세계일보,제약 및 의료,대사성의약,자양강장제,(주)일화,일화진생시리즈,세계인으 인삼드링크
유한양행2차-019,1991,신문,서울신문,제약 및 의료,대사성의약,자양강장제,일양약품(주),영비천 선물세트,좋은명절-좋은선물
유한양행2차-021,1991,신문,서울경제신문,제약 및 의료,대사성의약,자양강장제,제일제당,홍삼원,홍삼원이 진하구만
유한양행2차-022,1991,신문,세계일보,제약 및 의료,대사성의약,성인종합영양제,(주)일화,진생골드,야망은 힘으로부터
유한양행2차-023,1991,신문,국민일보,제약 및 의료,대사성의약,자양강장제,동아제약(주),한삼디,"인삼에서 건강을,썬 화이바에서 매력을"
유한양행2차-024,1991,신문,한계례신문,제약 및 의료,대사성의약,자양강장제,웅진인삼,웅보천,영지버섯과 로얄제리를 한꺼번에
유한양행2차-025,1991,신문,중앙일보,제약 및 의료,대사성의약,자양강장제,제일제당,홍삼원,빨간 홍삼원으로 진하게 살자 이거죠
유한양행2차-026,1991,신문,서울경제신문,제약 및 의료,대사성의약,자양강장제,동아제약(주),한삼디,"인삼에서 건강을,썬 화이바에서 매력을"
유한양행2차-027,1991,신문,조선일보,제약 및 의료,대사성의약,자양강장제,일양약품(주),영비천,영비천으로 스승님께 감사를
유한양행2차-029,1991,신문,조선일보,제약 및 의료,대사성의약,자양강장제,광동제약(주),운지천 에프,"천연의 운지버섯, 그 효과를 마신다"
유한양행2차-030,1991,신문,조선일보,제약 및 의료,대사성의약,자양강장제,동아제약(주),한삼디,"인삼에서 건강을,썬 화이바에서 매력을"
유한양행2차-049,1991,신문,동아일보,제약 및 의료,감기약,종합감기약,동아제약(주),하노백,"사랑도 오래오래,건강도 오래오래"
유한양행2차-050,1991,신문,중앙일보,제약 및 의료,감기약,종합감기약,동아제약(주),하노백,부부금슬
유한양행2차-051,1991,신문,한국일보,제약 및 의료,감기약,종합감기약,동아제약(주),하노백,"365일 어버이날, 365일 건강을"
유한양행2차-053,1991,신문,한국일보,제약 및 의료,소화위장약,소화제,(주)종근당,속청,"속이 갑갑,답답하십니까"
유한양행2차-054,1991,신문,기타신문,제약 및 의료,소화위장약,소화제,영진약품공업(주),판,미래의 발명가를 육성하고 있읍니다
유한양행2차-055,1991,신문,동아일보,제약 및 의료,소화위장약,소화제,영진약품공업(주),판,속편한 소화제
유한양행2차-095,1991,신문,중앙일보,제약 및 의료,감기약,종합감기약,현대약품(주),시노카,"감기,초기에 잡읍시다"
유한양행2차-096,1991,신문,한국일보,제약 및 의료,감기약,종합감기약,동아제약(주),판피린에프,감기에는 역시 판피린 에프
유한양행2차-097,1991,신문,동아일보,제약 및 의료,감기약,종합감기약,고려제약(주),하벤,하벤도 몰아요하벤
유한양행2차-098,1991,신문,조선일보,제약 및 의료,감기약,기침감기약,한미약품공업(주),암브로콜,온가족 기침.가래에
유한양행2차-099,1991,신문,한계례신문,제약 및 의료,감기약,종합감기약,한일약품공업(주),화이투벤 에스,화이투벤있잖아요
